row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính. VND Chênh lệch thuần điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính. VND Chênh lệch thuần điều chỉnh số kế toán trong năm
1,1,1,Loại FVTPL,37.774.184.251.251,37.634.045.969.086,(140.138.282.165),(196.201.328.541),56.063.046.376,,37774184251251.0,37634045969086.0,-140138282165.0,-196201328541.0,56063046376.0
1,1,1,"Cổ phiếu và chứng khoán niêm yết, đăng ký giao dịch UPCoM khác",178.228.161.335,177.978.134.077,(250.027.258),(5.904.966.403),5.654.939.145,,178228161335.0,177978134077.0,-250027258.0,-5904966403.0,5654939145.0
1,1,1,HPG,24.086.013.907,23.527.706.400,(558.307.507),(519.543.307),(38.764.200),,24086013907.0,23527706400.0,-558307507.0,-519543307.0,-38764200.0
1,1,1,FPT,19.828.752.020,19.495.491.600,(333.260.420),3.196.733.450,(3.529.993.870),,19828752020.0,19495491600.0,-333260420.0,3196733450.0,-3529993870.0
1,1,1,VPB,14.786.004.663,14.714.668.650,(71.336.013),(13.828.430.440),13.757.094.427,,14786004663.0,14714668650.0,-71336013.0,-13828430440.0,13757094427.0
1,1,1,ACB,13.260.284.164,12.832.848.000,(427.436.164),1.194.679.855,(1.622.116.019),,13260284164.0,12832848000.0,-427436164.0,1194679855.0,-1622116019.0
1,1,1,VNM,6.071.390.352,5.997.661.200,(73.729.152),(317.877.623),244.148.471,,6071390352.0,5997661200.0,-73729152.0,-317877623.0,244148471.0
1,1,1,Cổ phiếu và chứng khoán khác,100.195.716.229,101.409.758.227,1.214.041.998,4.369.471.662,(3.155.429.664),,100195716229.0,101409758227.0,1214041998.0,4369471662.0,-3155429664.0
2,2,2,Cổ phiếu niêm yết cho hoạt động phòng ngửa rủi ro của chứng quyền,1.134.246.866.577,1.128.730.522.550,(5.516.344.027),25.686.885.742,(31.203.229.769),,1134246866577.0,1128730522550.0,-5516344027.0,25686885742.0,-31203229769.0
2,2,2,HPG,221.498.621.763,216.364.341.600,(5.134.280.163),(1.261.121.840),(3.873.158.323),,221498621763.0,216364341600.0,-5134280163.0,-1261121840.0,-3873158323.0
2,2,2,ACB,193.698.399.023,187.454.664.000,(6.243.735.023),434.448.888,(6.678.183.911),,193698399023.0,187454664000.0,-6243735023.0,434448888.0,-6678183911.0
2,2,2,FPT,136.446.001.811,134.152.763.600,(2.293.238.211),20.557.266.581,(22.850.504.792),,136446001811.0,134152763600.0,-2293238211.0,20557266581.0,-22850504792.0
2,2,2,MSN,129.075.605.897,124.592.930.000,(4.482.675.897),(150.049.903),(4.332.625.994),,129075605897.0,124592930000.0,-4482675897.0,-150049903.0,-4332625994.0
2,2,2,MWG,82.636.574.904,88.523.671.600,5.887.096.696,207.928.363,5.679.168.333,,82636574904.0,88523671600.0,5887096696.0,207928363.0,5679168333.0
2,2,2,Cổ phiếu khác,370.891.663.179,377.642.151.750,6.750.488.571,5.898.413.653,852.074.918,,370891663179.0,377642151750.0,6750488571.0,5898413653.0,852074918.0
3,3,3,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,46.347.144.913,27.169.894.402,(19.177.250.511),(19.856.877.929),679.627.418,,46347144913.0,27169894402.0,-19177250511.0,-19856877929.0,679627418.0
4,4,4,Trái phiếu niêm yết,4.525.050.372.870,4.409.855.712.501,(115.194.660.369),(196.126.369.951),80.931.709.582,,4525050372870.0,4409855712501.0,-115194660369.0,-196126369951.0,80931709582.0
5,5,5,Trái phiếu chưa niêm yết,8.682.505.831.443,8.682.505.831.443,,,,,8682505831443.0,8682505831443.0,,,
6,6,6,Chứng chỉ tiền gửi,23.207.805.874.113,23.207.805.874.113,,,,,23207805874113.0,23207805874113.0,,,
