row_label_raw,row_label_full,Các loại tài sảntài chính,Số cuối năm > Giá mua/Giá gốc,Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua/Giá gốc,Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Số cuối năm > Giá mua/Giá gốc,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số cuối năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua/Giá gốc,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch tăng,numeric__Số đầu năm > Chênh lệch đánh giá > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
FVTPL,FVTPL,FVTPL,37.774.184.251.251,20.166.836.759,(160.305.118.924),37.634.045.969.086,42.283.859.980.424,40.442.371.497,(236.643.700.038),42.087.658.651.883,37774184251251.0,20166836759.0,-160305118924.0,37634045969086.0,42283859980424.0,40442371497.0,-236643700038.0,42087658651883.0
"Cổ phiếu vàchứng khoản niêmyết, đăng ký giaodịch UPCoM khác","Cổ phiếu vàchứng khoản niêmyết, đăng ký giaodịch UPCoM khác","Cổ phiếu vàchứng khoản niêmyết, đăng ký giaodịch UPCoM khác",178.228.161.335,2.173.274.509,(2.423.301.767),177.978.134.077,1.368.632.430.067,12.056.543.611,(17.961.510.014),1.362.727.463.664,178228161335.0,2173274509.0,-2423301767.0,177978134077.0,1368632430067.0,12056543611.0,-17961510014.0,1362727463664.0
Cổ phiếu niêm yềctho hoạt độngphòng ngửa rủ rocủa chứng quyền,Cổ phiếu niêm yềctho hoạt độngphòng ngửa rủ rocủa chứng quyền,Cổ phiếu niêm yềctho hoạt độngphòng ngửa rủ rocủa chứng quyền,1.134.246.866.577,17.357.298.627,(22.873.642.654),1.128.730.522.550,968.809.795.708,28.385.827.886,(2.698.942.144),994.496.681.450,1134246866577.0,17357298627.0,-22873642654.0,1128730522550.0,968809795708.0,28385827886.0,-2698942144.0,994496681450.0
Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,46.347.144.913,636.263.623,(19.813.514.134),27.169.894.402,69.344.160.610,-,(19.856.877.929),49.487.282.681,46347144913.0,636263623.0,-19813514134.0,27169894402.0,69344160610.0,,-19856877929.0,49487282681.0
Trải phiếu niêmyết,Trải phiếu niêmyết,Trải phiếu niêmyết,4.525.050.372.870,-,(115.194.660.369),4.409.855.712.501,6.129.049.191.192,-,(196.126.369.951),5.932.922.821.241,4525050372870.0,,-115194660369.0,4409855712501.0,6129049191192.0,,-196126369951.0,5932922821241.0
Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,8.682.505.831.443,-,-,8.682.505.831.443,9.016.312.175.799,-,-,9.016.312.175.799,8682505831443.0,,,8682505831443.0,9016312175799.0,,,9016312175799.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,23.207.805.874.113,-,-,23.207.805.874.113,24.731.712.227.048,-,-,24.731.712.227.048,23207805874113.0,,,23207805874113.0,24731712227048.0,,,24731712227048.0
AFS,AFS,AFS,455.747.510.372,17.545.887.275,-,473.293.397.647,451.044.473.608,-,(4.741.291.386),446.303.182.222,455747510372.0,17545887275.0,,473293397647.0,451044473608.0,,-4741291386.0,446303182222.0
Cổ phiếu niêmyết,Cổ phiếu niêmyết,Cổ phiếu niêmyết,28.147.000.000,14.603.367.275,-,42.750.367.275,-,-,-,-,28147000000.0,14603367275.0,,42750367275.0,,,,
Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,Cổ phiếu vàchứng chỉ quỹchưa niêm yết,379.600.375.621,2.942.520.000,-,382.542.895.621,342.764.891.142,-,(4.741.291.386),338.023.599.756,379600375621.0,2942520000.0,,382542895621.0,342764891142.0,,-4741291386.0,338023599756.0
Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,Trải phiếu churaniêm yết,48.000.134.751,-,-,48.000.134.751,108.279.582.466,-,-,108.279.582.466,48000134751.0,,,48000134751.0,108279582466.0,,,108279582466.0
Tổng cộng,Tổng cộng,Tổng cộng,38.229.931.761.623,37.712.724.034,(160.305.118.924),38.107.339.366.733,42.734.904.454.032,40.442.371.497,(241.384.991.424),42.533.961.834.105,38229931761623.0,37712724034.0,-160305118924.0,38107339366733.0,42734904454032.0,40442371497.0,-241384991424.0,42533961834105.0
