row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá trị hợp lý,Số dư chênh lệch đánh giá lại cuối năm,Số dư chênh lệch đánh giá lại đầu năm,Đơn vị tính: VNDChênh lệch thuẩn điều chỉnh số kế toán trong năm,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá trị hợp lý,numeric__Số dư chênh lệch đánh giá lại cuối năm,numeric__Số dư chênh lệch đánh giá lại đầu năm,numeric__Đơn vị tính: VNDChênh lệch thuẩn điều chỉnh số kế toán trong năm
II,II,II,Loại AFS,455.747.510.372,473.293.397.647,17.545.887.275,(4.741.291.386),22.287.178.661,,455747510372.0,473293397647.0,17545887275.0,-4741291386.0,22287178661.0
1,1,1,Cổ phiếu niêm yết,28.147.000.000,42.750.367.275,14.603.367.275,-,14.603.367.275,,28147000000.0,42750367275.0,14603367275.0,,14603367275.0
2,2,2,Cổ phiếu và chứng chỉ quỹ chưa niêm yết,379.600.375.621,382.542.895.621,2.942.520.000,(4.741.291.386),7.683.811.386,,379600375621.0,382542895621.0,2942520000.0,-4741291386.0,7683811386.0
3,3,3,Trải phiếu chưa niêm yết,48.000.134.751,48.000.134.751,-,-,-,,48000134751.0,48000134751.0,,,
,,,Tổng cộng,38.229.931.761.623,38.107.339.366.733,(122.592.394.890),(200.942.619.927),78.350.225.037,,38229931761623.0,38107339366733.0,-122592394890.0,-200942619927.0,78350225037.0
