row_label_raw,row_label_full,STT,Chỉ tiêu,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Chỉ tiêu,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
I,I,I,Thuế,189.810.282.076,2.183.278.815.963,(1.754.522.750.161),618.566.347.878,,189810282076.0,2183278815963.0,-1754522750161.0,618566347878.0
1,1,1,Thuế giá trị gia tăng,994.906.208,8.403.346.642,(8.121.502.810),1.276.750.040,,994906208.0,8403346642.0,-8121502810.0,1276750040.0
2,2,2,Thuế thu nhập doanh nghiệp(Thuyết minh số 40.1),125.660.196.815,933.916.764.957,(548.431.738.746),511.145.223.026,,125660196815.0,933916764957.0,-548431738746.0,511145223026.0
3,3,3,Các loại thuế khác,63.155.179.053,1.240.958.704.364,(1.197.969.508.605),106.144.374.812,,63155179053.0,1240958704364.0,-1197969508605.0,106144374812.0
3,3,3,Thuế thu nhập cá nhân,15.143.971.801,171.223.981.709,(171.106.625.478),15.261.328.032,,15143971801.0,171223981709.0,-171106625478.0,15261328032.0
3,3,3,Thuế thu nhập cá nhân nộp hộ,41.069.191.373,848.335.097.081,(822.318.842.458),67.085.445.996,,41069191373.0,848335097081.0,-822318842458.0,67085445996.0
3,3,3,Thuế môn bài,-,16.000.000,(16.000.000),-,,,16000000.0,-16000000.0,
3,3,3,Thuế khác (thuế nhà thầu),6.942.015.879,221.383.625.574,(204.528.040.669),23.797.600.784,,6942015879.0,221383625574.0,-204528040669.0,23797600784.0
II,II,II,Các khoản phải nộp khác,-,15.933,(15.933),-,,,15933.0,-15933.0,
II,II,II,Tổng cộng,189.810.282.076,2.183.278.831.896,(1.754.522.766.094),618.566.347.878,,189810282076.0,2183278831896.0,-1754522766094.0,618566347878.0
