row_label_raw,row_label_full,Thuế giá trị gia tăng,Số cuối năm > 1.276.750.040,Đơn vị tính: VND > Số đầu năm > 994.906.208,numeric__Số cuối năm > 1.276.750.040,numeric__Đơn vị tính: VND > Số đầu năm > 994.906.208
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,511.145.223.026,125.660.196.815,511145223026.0,125660196815.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,82.346.774.028,56.213.163.174,82346774028.0,56213163174.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,23.797.600.784,6.942.015.879,23797600784.0,6942015879.0
Tổng cộng,Tổng cộng,Tổng cộng,618.566.347.878,189.810.282.076,618566347878.0,189810282076.0
