row_label_raw,row_label_full,Công ty Cổ phần bắt động sản Dầu Khí Việt Nam - SSG,Số cuối năm > 37.213.000.000,Đơn vị tính: VND > Số đầu năm > 74.426.000.000,numeric__Số cuối năm > 37.213.000.000,numeric__Đơn vị tính: VND > Số đầu năm > 74.426.000.000
Công ty Cổ phần Kỹ thuật Thăng Tiến,Công ty Cổ phần Kỹ thuật Thăng Tiến,Công ty Cổ phần Kỹ thuật Thăng Tiến,14.719.112.376,-,14719112376.0,
Phải trả tiền mua chứng khoán,Phải trả tiền mua chứng khoán,Phải trả tiền mua chứng khoán,22.298.066.000,1.423.129.000,22298066000.0,1423129000.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,16.204.631.629,21.751.589.446,16204631629.0,21751589446.0
Tổng cộng,Tổng cộng,Tổng cộng,90.434.810.005,97.600.718.446,90434810005.0,97600718446.0
