row_label_raw,row_label_full,Tình hình hoạt động của Công ty con trong năm,Năm nay > Tình hình hoạt động của Công ty con trong năm,Năm trước > Tình hình hoạt động của Công ty con trong năm,numeric__Năm nay > Tình hình hoạt động của Công ty con trong năm,numeric__Năm trước > Tình hình hoạt động của Công ty con trong năm
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Dầu khí Miền Trung,Dầu khí Miền Trung,Dầu khí Miền Trung,có lãi,có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Dầu khí Tây Nam Bộ,Dầu khí Tây Nam Bộ,Dầu khí Tây Nam Bộ,có lãi,có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Dầu khí Đông Nam Bộ,Dầu khí Đông Nam Bộ,Dầu khí Đông Nam Bộ,có lãi,có lãi,,
Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Công ty Cổ phần Phân bón và Hóa chất,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Dầu khí Miền Bắc,Dầu khí Miền Bắc,Dầu khí Miền Bắc,có lãi,có lãi,,
Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,Tình hình hoạt động của Công ty liên kết trong năm,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,Công ty Cổ phần Phát triển Đô thị Dầu khí,có lãi,có lãi,,
Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,bj lỗ,bj lỗ,,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Hoạt động kinh doanh,Hoạt động kinh doanh,,
Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty Cổ phần Bao bì Đạm Phú Mỹ,có lãi,có lãi,,
