row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Phải thu ngắn hạn của khách hàng,a. Phải thu ngắn hạn của khách hàng,a. Phải thu ngắn hạn của khách hàng,a. Phải thu ngắn hạn của khách hàng,a. Phải thu ngắn hạn của khách hàng,,
Liven Agrichem PTE LTD,a. Phải thu ngắn hạn của khách hàng > Liven Agrichem PTE LTD,Liven Agrichem PTE LTD,36.377.540.000,-,36377540000.0,
Công ty Cổ phần F.A,a. Phải thu ngắn hạn của khách hàng > Công ty Cổ phần F.A,Công ty Cổ phần F.A,34.003.455.213,1.532.390.309,34003455213.0,1532390309.0
Công ty Liên doanh Điều hành Hoàng Long,a. Phải thu ngắn hạn của khách hàng > Công ty Liên doanh Điều hành Hoàng Long,Công ty Liên doanh Điều hành Hoàng Long,17.391.194.502,8.647.844.315,17391194502.0,8647844315.0
All Cosmos Industries SDN BHD,a. Phải thu ngắn hạn của khách hàng > All Cosmos Industries SDN BHD,All Cosmos Industries SDN BHD,-,6.612.480.000,,6612480000.0
Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,a. Phải thu ngắn hạn của khách hàng > Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,Công ty TNHH Hóa chất và Xây dựng Phú Mỹ,-,16.989.765.758,,16989765758.0
Các khách hàng khác,a. Phải thu ngắn hạn của khách hàng > Các khách hàng khác,Các khách hàng khác,63.161.933.277,11.193.804.668,63161933277.0,11193804668.0
,,,150.934.122.992,44.976.285.050,150934122992.0,44976285050.0
b. Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 37),a. Phải thu ngắn hạn của khách hàng > b. Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 37),b. Phải thu khách hàng là các bên liên quan(chi tiết trình bày tại Thuyết minh số 37),202.014.822.331,59.025.778.737,202014822331.0,59025778737.0
Tổng cộng,a. Phải thu ngắn hạn của khách hàng > Tổng cộng,Tổng cộng,352.948.945.323,104.002.063.787,352948945323.0,104002063787.0
