row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa, bảo dưỡng tổng thể VND","Dự phòng sửa chữa, bảo dưỡng tổng thể VND_1","numeric__Dự phòng sửa chữa, bảo dưỡng tổng thể VND","numeric__Dự phòng sửa chữa, bảo dưỡng tổng thể VND_1"
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,,467.511.021.812,,467511021812.0
Trích lập dự phòng,Trích lập dự phòng,Trích lập dự phòng,,,,
bổ sung trong năm,Trích lập dự phòng > bổ sung trong năm,bổ sung trong năm,,58.948.551.633,,58948551633.0
Các khoản dự phòng đã sử dụng,Trích lập dự phòng > Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,,(340.646.080.767),,-340646080767.0
Số dư cuối năm,Trích lập dự phòng > Số dư cuối năm,Số dư cuối năm,,185.813.492.678,,185813492678.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Dự phòng phải trả ngắn hạn,Trong đó: > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,20.327.222.568,467.511.021.812,20327222568.0,467511021812.0
Dự phòng phải trả dài hạn,Trong đó: > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,165.486.270.110,-,165486270110.0,
,,,185.813.492.678,467.511.021.812,185813492678.0,467511021812.0
