row_label_raw,row_label_full,col_0,Quyènsử dụng đất,Quyènsử dụng đất_1,Quyènsử dụng đất_2,Nhà cửavà vật kiến trúc,Nhà cửavà vật kiến trúc_1,Tổng,numeric__Quyènsử dụng đất,numeric__Quyènsử dụng đất_1,numeric__Quyènsử dụng đất_2,numeric__Nhà cửavà vật kiến trúc,numeric__Nhà cửavà vật kiến trúc_1,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,99.499.152.000,99.499.152.000,99.499.152.000,218.454.390.202,218.454.390.202,317.953.542.202,99499152000.0,99499152000.0,99499152000.0,218454390202.0,218454390202.0,317953542202.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,99.499.152.000,99.499.152.000,99.499.152.000,218.454.390.202,218.454.390.202,317.953.542.202,99499152000.0,99499152000.0,99499152000.0,218454390202.0,218454390202.0,317953542202.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,10.664.026.413,10.664.026.413,10.664.026.413,87.545.770.376,87.545.770.376,98.209.796.789,10664026413.0,10664026413.0,10664026413.0,87545770376.0,87545770376.0,98209796789.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,1.005.683.040,1.005.683.040,1.005.683.040,8.892.748.510,8.892.748.510,9.898.431.550,1005683040.0,1005683040.0,1005683040.0,8892748510.0,8892748510.0,9898431550.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,11.669.709.453,11.669.709.453,11.669.709.453,96.438.518.886,96.438.518.886,108.108.228.339,11669709453.0,11669709453.0,11669709453.0,96438518886.0,96438518886.0,108108228339.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,88.835.125.587,88.835.125.587,88.835.125.587,130.908.619.826,130.908.619.826,219.743.745.413,88835125587.0,88835125587.0,88835125587.0,130908619826.0,130908619826.0,219743745413.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,87.829.442.547,87.829.442.547,87.829.442.547,122.015.871.316,122.015.871.316,209.845.313.863,87829442547.0,87829442547.0,87829442547.0,122015871316.0,122015871316.0,209845313863.0
