row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.220.604.509.135,8.242.581.637.773,55.422.857.847,299.513.839.389,637.441.196.304,11.455.564.040.448,2220604509135.0,8242581637773.0,55422857847.0,299513839389.0,637441196304.0,11455564040448.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,5.814.321.427,2.101.381.744,10.503.302.930,-,18.419.006.101,,5814321427.0,2101381744.0,10503302930.0,,18419006101.0
Điều chỉnh do quyết toán,NGUYÊN GIÁ > Điều chỉnh do quyết toán,Điều chỉnh do quyết toán,(28.157.966.588),(72.551.395.723),-,-,(15.966.987.306),(116.676.349.617),-28157966588.0,-72551395723.0,,,-15966987306.0,-116676349617.0
Thanh lý. nhượng bán,NGUYÊN GIÁ > Thanh lý. nhượng bán,Thanh lý. nhượng bán,-,(3.069.000.000),-,-,-,(3.069.000.000),,-3069000000.0,,,,-3069000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.192.446.542.547,8.172.775.563.477,57.524.239.591,310.017.142.319,621.474.208.998,11.354.237.696.932,2192446542547.0,8172775563477.0,57524239591.0,310017142319.0,621474208998.0,11354237696932.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.286.480.464.366,6.170.236.369.202,53.923.477.223,245.852.056.274,290.734.111.098,8.047.226.478.163,1286480464366.0,6170236369202.0,53923477223.0,245852056274.0,290734111098.0,8047226478163.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,120.852.778.607,260.104.516.627,781.002.066,26.286.857.659,94.095.878.310,502.121.033.269,120852778607.0,260104516627.0,781002066.0,26286857659.0,94095878310.0,502121033269.0
Điều chỉnh do quyết toán,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh do quyết toán,Điều chỉnh do quyết toán,(10.691.990.046),(27.714.762.840),-,(2.040.105),(15.196.217.547),(53.605.010.538),-10691990046.0,-27714762840.0,,-2040105.0,-15196217547.0,-53605010538.0
Thanh lý. nhượng bán,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý. nhượng bán,Thanh lý. nhượng bán,-,(2.790.609.836),-,-,-,(2.790.609.836),,-2790609836.0,,,,-2790609836.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.396.641.252.927,6.399.835.513.153,54.704.479.289,272.136.873.828,369.633.771.861,8.492.951.891.058,1396641252927.0,6399835513153.0,54704479289.0,272136873828.0,369633771861.0,8492951891058.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,934.124.044.769,2.072.345.268.571,1.499.380.624,53.661.783.115,346.707.085.206,3.408.337.562.285,934124044769.0,2072345268571.0,1499380624.0,53661783115.0,346707085206.0,3408337562285.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,795.805.289.620,1.772.940.050.324,2.819.760.302,37.880.268.491,251.840.437.137,2.861.285.805.874,795805289620.0,1772940050324.0,2819760302.0,37880268491.0,251840437137.0,2861285805874.0
