row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp /thu trong năm,Số đã thực nộp /thu trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp /thu trong năm,numeric__Số đã thực nộp /thu trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.756.286.972,3.756.286.972,-,-,3756286972.0,3756286972.0,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,-,-,98.916.250,98.916.250,,,98916250.0,98916250.0
,,,6.909.105.746,3.756.286.972,98.916.250,3.251.735.024,6909105746.0,3756286972.0,98916250.0,3251735024.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,3.743.401.730,62.495.261.102,57.348.075.357,8.890.587.475,3743401730.0,62495261102.0,57348075357.0,8890587475.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải trả > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,3.743.401.730,58.618.793.156,53.471.607.411,8.890.587.475,3743401730.0,58618793156.0,53471607411.0,8890587475.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,3.876.467.946,3.876.467.946,-,,3876467946.0,3876467946.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",361.848.690,69.317.882.613,52.039.159.103,17.640.572.200,361848690.0,69317882613.0,52039159103.0,17640572200.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,43.705.601.178,550.156.610.990,268.300.750.006,325.561.462.162,43705601178.0,550156610990.0,268300750006.0,325561462162.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.491.867.548,41.173.349.992,36.936.593.016,7.728.624.524,3491867548.0,41173349992.0,36936593016.0,7728624524.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,325.833.240,3.479.668.012,3.468.486.058,337.015.194,325833240.0,3479668012.0,3468486058.0,337015194.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải trả > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,249.378.251,4.708.565.308,4.777.361.658,180.581.901,249378251.0,4708565308.0,4777361658.0,180581901.0
- Thuế bảo vệ môi trường,b. Các khoản phải trả > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,249.378.251,556.102.900,624.899.250,180.581.901,249378251.0,556102900.0,624899250.0,180581901.0
- Thuế nhà đất và tiền thuê đất,b. Các khoản phải trả > - Thuế nhà đất và tiền thuê đất,- Thuế nhà đất và tiền thuê đất,-,1.100.922.655,1.100.922.655,-,,1100922655.0,1100922655.0,
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,6.000.000,6.000.000,-,,6000000.0,6000000.0,
- Thuế nhà thầu nước ngoài,b. Các khoản phải trả > - Thuế nhà thầu nước ngoài,- Thuế nhà thầu nước ngoài,-,2.399.999.230,2.399.999.230,-,,2399999230.0,2399999230.0,
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,645.540.523,645.540.523,-,,645540523.0,645540523.0,
,,,51.877.930.637,731.331.338.017,422.870.425.198,360.338.843.456,51877930637.0,731331338017.0,422870425198.0,360338843456.0
