row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,8.810.364.218.905,5.703.290.130.352,,100.0,,8810364218905.0,5703290130352.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,2.188.219.575.490,1.699.179.830.219,,110.0,4.0,2188219575490.0,1699179830219.0
1.,1.,1.,Tiền,111,,454.219.575.490,165.179.830.219,,111.0,,454219575490.0,165179830219.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.734.000.000.000,1.534.000.000.000,,112.0,,1734000000000.0,1534000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,3.435.000.000.000,2.185.000.000.000,,120.0,5.0,3435000000000.0,2185000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,3.435.000.000.000,2.185.000.000.000,,123.0,,3435000000000.0,2185000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,507.600.510.904,214.128.629.551,,130.0,,507600510904.0,214128629551.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,352.948.945.323,104.002.063.787,,131.0,6.0,352948945323.0,104002063787.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,64.745.171.999,51.410.051.627,,132.0,7.0,64745171999.0,51410051627.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,323.383.143.871,292.292.936.796,,136.0,8.0,323383143871.0,292292936796.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(233.476.873.759),(233.576.422.659),,137.0,9.0,-233476873759.0,-233576422659.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,123.470,-,,139.0,,123470.0,
IV.,IV.,IV.,Hàng tồn kho,140,10,2.405.764.838.500,1.314.316.391.820,,140.0,10.0,2405764838500.0,1314316391820.0
1.,1.,1.,Hàng tồn kho,141,,2.409.044.704.838,1.340.621.467.980,,141.0,,2409044704838.0,1340621467980.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(3.279.866.338),(26.305.076.160),,149.0,,-3279866338.0,-26305076160.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,273.779.294.011,290.665.278.762,,150.0,,273779294011.0,290665278762.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,13.104.672.883,26.817.899.175,,151.0,11.0,13104672883.0,26817899175.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,257.422.886.104,256.938.273.841,,152.0,,257422886104.0,256938273841.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,3.251.735.024,6.909.105.746,,153.0,15.0,3251735024.0,6909105746.0
