row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,4.671.324.415.648,5.259.357.794.948,,200.0,,4671324415648.0,5259357794948.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,743.500.000,595.000.000,,210.0,,743500000.0,595000000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,743.500.000,595.000.000,,216.0,8.0,743500000.0,595000000.0
II.,II.,II.,Tài sản cố định,220,,3.639.836.214.333,4.198.343.442.859,,220.0,,3639836214333.0,4198343442859.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,2.861.285.805.874,3.408.337.562.285,,221.0,12.0,2861285805874.0,3408337562285.0
1.,1.,1.,- Nguyên giá,222,,11.354.237.696.932,11.455.564.040.448,,222.0,,11354237696932.0,11455564040448.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(8.492.951.891.058),(8.047.226.478.163),,223.0,,-8492951891058.0,-8047226478163.0
2.,2.,2.,Tài sản cố định vô hình,227,13,778.550.408.459,790.005.880.574,,227.0,13.0,778550408459.0,790005880574.0
2.,2.,2.,- Nguyên giá,228,,1.094.963.751.418,1.092.207.401.418,,228.0,,1094963751418.0,1092207401418.0
2.,2.,2.,- Giá trị hao mòn lũy kế,229,,(316.413.342.959),(302.201.520.844),,229.0,,-316413342959.0,-302201520844.0
III.,III.,III.,Bắt động sản đầu tư,230,14,209.845.313.863,219.743.745.413,,230.0,14.0,209845313863.0,219743745413.0
III.,III.,III.,- Nguyên giá,231,,317.953.542.202,317.953.542.202,,231.0,,317953542202.0,317953542202.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(108.108.228.339),(98.209.796.789),,232.0,,-108108228339.0,-98209796789.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,176.207.135.661,155.442.506.194,,240.0,,176207135661.0,155442506194.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,16,176.207.135.661,155.442.506.194,,242.0,16.0,176207135661.0,155442506194.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,420.490.293.169,420.707.228.618,,250.0,5.0,420490293169.0,420707228618.0
1.,1.,1.,Đầu tư vào công ty con,251,,386.250.000.000,386.250.000.000,,251.0,,386250000000.0,386250000000.0
2.,2.,2.,Đầu tư vào công ty liên kết,252,,680.903.000.000,680.903.000.000,,252.0,,680903000000.0,680903000000.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,20.502.000.000,20.502.000.000,,253.0,,20502000000.0,20502000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(667.164.706.831),(666.947.771.382),,254.0,,-667164706831.0,-666947771382.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,224.201.958.622,264.525.871.864,,260.0,,224201958622.0,264525871864.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,13.075.483.937,16.577.320.494,,261.0,11.0,13075483937.0,16577320494.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,17,64.060.251.699,95.370.090.448,,262.0,17.0,64060251699.0,95370090448.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,10,124.128.741.854,139.786.369.885,,263.0,10.0,124128741854.0,139786369885.0
4.,4.,4.,Tài sản dài hạn khác,268,,22.937.481.132,12.792.091.037,,268.0,,22937481132.0,12792091037.0
,,,TỔNG CỘNG TÀI SẢN(270=100+200),270,,13.481.688.634.553,10.962.647.925.300,,270.0,,13481688634553.0,10962647925300.0
