row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,663.794.024.326,8.041.491.971.905,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,663794024326.0,8041491971905.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,681.535.902.736,681.535.902.736,,,,,681535902736.0,681535902736.0
Trích Quỹ khen thưởng. phúc lợi,Trích Quỹ khen thưởng. phúc lợi,Trích Quỹ khen thưởng. phúc lợi,-,-,-,-,(126.911.588.726),(126.911.588.726),,,,,-126911588726.0,-126911588726.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,(469.601.112.000),(469.601.112.000),,,,,-469601112000.0,-469601112000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,603.101.817,603.101.817,,,,,603101817.0,603101817.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,749.420.328.153,8.127.118.275.732,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,749420328153.0,8127118275732.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,749.420.328.153,8.127.118.275.732,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,749420328153.0,8127118275732.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.030.399.711.796,3.030.399.711.796,,,,,3030399711796.0,3030399711796.0
Trích Quỹ khen thưởng. phúc lợi (i),Trích Quỹ khen thưởng. phúc lợi (i),Trích Quỹ khen thưởng. phúc lợi (i),-,-,-,-,(106.901.555.547),(106.901.555.547),,,,,-106901555547.0,-106901555547.0
Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(547.867.964.000),(547.867.964.000),,,,,-547867964000.0,-547867964000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.444.814.857.841,3.125.050.520.402,10.502.748.467.981,3914000000000.0,21179913858.0,-2296824120.0,3444814857841.0,3125050520402.0,10502748467981.0
