row_label_raw,row_label_full,Ngoại tệ,Ngoại tệ_1,Ngoại tệ_2,numeric__Ngoại tệ_1,numeric__Ngoại tệ_2
,,,Số cuối năm,Số đầu năm,,
Đô La Mỹ (USD),Đô La Mỹ (USD),Đô La Mỹ (USD),46.494,1.124.615,46494.0,1124615.0
Euro (EUR),Euro (EUR),Euro (EUR),32.505,1.429,32505.0,1429.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,,
,,,Số cuối năm,Số đầu năm,,
,,,VND,VND,,
Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn,,
Trong vòng một năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Trong vòng một năm,Trong vòng một năm,17.835.785.541,16.441.075.051,17835785541.0,16441075051.0
Từ năm thứ hai đến năm thứ năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Từ năm thứ hai đến năm thứ năm,Từ năm thứ hai đến năm thứ năm,48.905.330.606,63.844.300.203,48905330606.0,63844300203.0
Sau năm năm,Tổng số tiền thuê tối thiểu trong tương lai của hợp đồng thuê hoạt động tài sản không hủy ngang theo các thời hạn > Sau năm năm,Sau năm năm,354.378.668.490,371.545.801.219,354378668490.0,371545801219.0
,,,421.119.784.637,451.831.176.473,421119784637.0,451831176473.0
