row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,2.978.940.166.572,2.835.529.649.568,,300.0,,2978940166572.0,2835529649568.0
I.,I.,I.,Nợ ngắn hạn,310,,2.058.361.459.275,1.941.661.787.716,,310.0,,2058361459275.0,1941661787716.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,764.694.984.801,454.652.023.667,,311.0,18.0,764694984801.0,454652023667.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,142.342.302.525,95.659.550.511,,312.0,19.0,142342302525.0,95659550511.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,15,360.338.843.456,51.877.930.637,,313.0,15.0,360338843456.0,51877930637.0
4.,4.,4.,Phải trả người lao động,314,,152.665.402.860,117.097.287.975,,314.0,,152665402860.0,117097287975.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,326.825.063.587,448.079.404.279,,315.0,20.0,326825063587.0,448079404279.0
6.,6.,6.,Phải trả ngắn hạn khác,319,21,68.751.442.570,51.647.007.722,,319.0,21.0,68751442570.0,51647007722.0
7.,7.,7.,Vay và nợ thuê tài chính ngắn hạn,320,23,200.133.810.219,190.871.758.751,,320.0,23.0,200133810219.0,190871758751.0
8.,8.,8.,Dự phòng phải trả ngắn hạn,321,22,20.327.222.568,467.511.021.812,,321.0,22.0,20327222568.0,467511021812.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,22.282.386.689,64.265.802.362,,322.0,,22282386689.0,64265802362.0
II.,II.,II.,Nợ dài hạn,330,,920.578.707.297,893.867.861.852,,330.0,,920578707297.0,893867861852.0
1.,1.,1.,Phải trả dài hạn khác,337,21,8.526.946.700,1.866.870.000,,337.0,21.0,8526946700.0,1866870000.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,23,700.468.329.150,858.922.907.882,,338.0,23.0,700468329150.0,858922907882.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,22,165.486.270.110,-,,342.0,22.0,165486270110.0,
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,46.097.161.337,33.078.083.970,,343.0,,46097161337.0,33078083970.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,10.502.748.467.981,8.127.118.275.732,,400.0,,10502748467981.0,8127118275732.0
I.,I.,I.,Vốn chủ sở hữu,410,24,10.502.748.467.981,8.127.118.275.732,,410.0,24.0,10502748467981.0,8127118275732.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,3.914.000.000.000,3.914.000.000.000,,411.0,,3914000000000.0,3914000000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,3.914.000.000.000,3.914.000.000.000,,,,3914000000000.0,3914000000000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,21.179.913.858,21.179.913.858,,412.0,,21179913858.0,21179913858.0
3.,3.,3.,Cổ phiếu quỹ,415,,(2.296.824.120),(2.296.824.120),,415.0,,-2296824120.0,-2296824120.0
4.,4.,4.,Quỹ đầu tư phát triển,418,,3.444.814.857.841,3.444.814.857.841,,418.0,,3444814857841.0,3444814857841.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,,3.125.050.520.402,749.420.328.153,,421.0,,3125050520402.0,749420328153.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,147.900.808.606,151.884.425.417,,,,147900808606.0,151884425417.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,2.977.149.711.796,597.535.902.736,,,,2977149711796.0,597535902736.0
