row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,Công ty con,
Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,Công ty con,
Trường Cao đẳng Công thương Quốc tế,Trường Cao đẳng Công thương Quốc tế,Trường Cao đẳng Công thương Quốc tế,Công ty con,
Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty con,
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty con,
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty con,
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty con,
Công ty CP Phát triển khu công nghiệp C.E.O,Công ty CP Phát triển khu công nghiệp C.E.O,Công ty CP Phát triển khu công nghiệp C.E.O,Công ty con,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồng,Công ty CP Đầu tư và Phát triển du lịch Vân Đồng,Công ty CP Đầu tư và Phát triển du lịch Vân Đồng,Công ty con,
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty con,
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty con của Công ty TNHH C.E.O Hospitality,
Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,Công ty con của Công ty TNHH C.E.O Hospitality,
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty con của Công ty CP Xây dựng C.E.O,
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty con của Công ty CP Đầu tư và Phát triển Phú Quốc,
Công ty TNHH MTV Du lịch và Dịch vụ Happy Family,Công ty TNHH MTV Du lịch và Dịch vụ Happy Family,Công ty TNHH MTV Du lịch và Dịch vụ Happy Family,Công ty con của Công ty CP Du lịch C.E.O,
Công ty TNHH MTV Xây dựng C.E.O Vân Đồng,Công ty TNHH MTV Xây dựng C.E.O Vân Đồng,Công ty TNHH MTV Xây dựng C.E.O Vân Đồng,Công ty con của Công ty CP Xây dựng C.E.O,
Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồng,Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồng,Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồng,Công ty con của Công ty CP Du lịch C.E.O,
Ông Đoàn Văn Bình,Ông Đoàn Văn Bình,Ông Đoàn Văn Bình,Chủ tịch HĐQT,
Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Ông Đoàn Văn Minh,Thành viên HĐQT,
Ông Trần Trung Kết,Ông Trần Trung Kết,Ông Trần Trung Kết,Thành viên HĐQT,
