row_label_raw,row_label_full,STT,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích của công ty mẹ,Tỷ lệ quyền biểu quyết,numeric__Tên công ty,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Tỷ lệ lợi ích của công ty mẹ,numeric__Tỷ lệ quyền biểu quyết
1.,1.,1.,Công ty TNHH C.E.O Quốc tế,"Tầng 5, Tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam",Kinh doanh bất động sản Nhà ở,100%,100%,,,,1.0,1.0
2.,2.,2.,Công ty CP Xây dựng C.E.O,"Tầng 12, tháp CEO, HH2-1, Đô thị mới Mễ Trì Hạ, đường Phạm Hùng, Phường Từ Liêm, TP Hà Nội, Việt Nam","Xây dựng nhà, khu công nghiệp, kinh doanh bất động sản, ...","67,55%","67,55%",,,,0.6755,0.6755
3.,3.,3.,Trường Cao đẳng Công thương Quốc tế (trước đây: Trường Cao đẳng Đại Việt),"Lô 2B.X3, Khu đô thị mới Mỹ Đình 1, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","Đào tạo các ngành kế toán doanh nghiệp sản xuất, doanh nghiệp thương mại, ...",100%,100%,,,,1.0,1.0
4.,4.,4.,Công ty CP Đầu tư và Phát triển Phú Quốc,"Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, Khu phố Đường Bảo, Đặc khu Phú Quốc, Tinh An Giang, Việt Nam","Kinh doanh khách sạn, resort, khu vui chơi, kinh doanh bất động sản, ...",60%,60%,,,,0.6,0.6
5.,5.,5.,Công ty CP Phát triển nhà và đô thị Phú Quốc,"Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Đặc khu Phú Quốc, Tinh An Giang, Việt Nam",Kinh doanh bất động sản nghi dưỡng,"69,36%","69,36%",,,,0.6936,0.6936
6.,6.,6.,Công ty TNHH C.E.O Hospitality,"Khu tổ hợp du lịch Sonasea Villas and Resort, tổ 5, ấp Đường Bảo, Xã Dương Tơ, Đặc khu Phú Quốc, Tinh An Giang, Việt Nam","Dịch vụ quản lý khu đô thị, dịch vụ quản lý khách sạn",100%,100%,,,,1.0,1.0
