row_label_raw,row_label_full,Chỉ tiêu > Số dư tại 01/01/2024 > Tăng vốn trong năm trước > Lãi trong năm trước,Vốn góp của chủ sở hữu > 5.146.787.600.000 > 257.276.720.000 > -,Thặng dư vốn cổ phần > (433.150.000) > -,Quỹ đầu tư phát triển > 102.620.632.011 > -,Lợi nhuận sau thuế chưa phân phối > 793.731.407.323 > (257.276.720.000) > 164.054.665.126,Đơn vị tính: VND Cộng > 6.042.706.489.334 > - > 164.054.665.126,numeric__Vốn góp của chủ sở hữu > 5.146.787.600.000 > 257.276.720.000 > -,numeric__Thặng dư vốn cổ phần > (433.150.000) > -,numeric__Quỹ đầu tư phát triển > 102.620.632.011 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 793.731.407.323 > (257.276.720.000) > 164.054.665.126,numeric__Đơn vị tính: VND Cộng > 6.042.706.489.334 > - > 164.054.665.126
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,-,-,5.302.191.193,(5.302.191.193),-,,,5302191193.0,-5302191193.0,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,(10.604.382.386),(10.604.382.386),,,,-10604382386.0,-10604382386.0
Giảm khác,Giảm khác,Giảm khác,-,-,(2.944.202.309),-,(2.944.202.309),,,-2944202309.0,,-2944202309.0
Số dư tại 31/12/2024,Số dư tại 31/12/2024,Số dư tại 31/12/2024,5.404.064.320.000,(433.150.000),104.978.620.895,684.602.778.870,6.193.212.569.765,5404064320000.0,-433150000.0,104978620895.0,684602778870.0,6193212569765.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),270.096.430.000,-,-,(270.096.430.000),-,270096430000.0,,,-270096430000.0,
Lãi trong năm,Lãi trong năm,Lãi trong năm,-,-,-,235.261.994.992,235.261.994.992,,,,235261994992.0,235261994992.0
Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),Trích Quỹ đầu tư phát triển (ii),-,-,8.202.733.256,(8.202.733.256),-,,,8202733256.0,-8202733256.0,
"Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)","Trích Quỹ khen thưởng, phúc lợi (ii)",-,-,-,(16.405.466.513),(16.405.466.513),,,,-16405466513.0,-16405466513.0
Giảm trong năm (iii),Giảm trong năm (iii),Giảm trong năm (iii),-,-,(921.030.109),-,(921.030.109),,,-921030109.0,,-921030109.0
Số dư tại 31/12/2025,Số dư tại 31/12/2025,Số dư tại 31/12/2025,5.674.160.750.000,(433.150.000),112.260.324.042,625.160.144.093,6.411.148.068.135,5674160750000.0,-433150000.0,112260324042.0,625160144093.0,6411148068135.0
