row_label_raw,row_label_full,Công ty TNHH MTV Phú Kiên Phú Quốc,18.553.238.572,-,4.427.268.111,-_1,numeric__18.553.238.572,numeric__-,numeric__4.427.268.111,numeric__-_1
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thanh Xuân,627.600.361,-,1.062.418.510,-,627600361.0,,1062418510.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,21.019.178,-,81.183.562,-,21019178.0,,81183562.0,
Phải thu khác,Phải thu khác,Phải thu khác,621.815.588.556,-,620.213.264.182,-,621815588556.0,,620213264182.0,
Tiền thỏa thuận đến bù dự án Khu biệt thụ cao cấp Sonasea Residences (4),Tiền thỏa thuận đến bù dự án Khu biệt thụ cao cấp Sonasea Residences (4),Tiền thỏa thuận đến bù dự án Khu biệt thụ cao cấp Sonasea Residences (4),615.882.351.880,-,615.882.351.880,-,615882351880.0,,615882351880.0,
Thuế TNCN phải thu của cán bộ công nhân viên,Thuế TNCN phải thu của cán bộ công nhân viên,Thuế TNCN phải thu của cán bộ công nhân viên,1.965.080.048,-,2.131.288.189,-,1965080048.0,,2131288189.0,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,3.968.156.628,-,2.199.624.113,-,3968156628.0,,2199624113.0,
b) Dài hạn,b) Dài hạn,b) Dài hạn,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Phải thu khác,Phải thu khác,Phải thu khác,1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Ban đến bù giải phóng mặt bằng Quốc Oai (5),Ban đến bù giải phóng mặt bằng Quốc Oai (5),Ban đến bù giải phóng mặt bằng Quốc Oai (5),1.692.084.000,-,1.692.084.000,-,1692084000.0,,1692084000.0,
Cộng,Cộng,Cộng,668.080.109.555,(5.100.000.000),655.826.945.207,(5.100.000.000),668080109555.0,-5100000000.0,655826945207.0,-5100000000.0
