row_label_raw,row_label_full,Công ty CP Đầu tư và Phát triển Nha Trang,25.502.110.890,col_2,numeric__25.502.110.890,numeric__col_2
Cho vay,Cho vay,Cho vay,Cho vay,Cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,70.382.919.450,140.500.000.000,70382919450.0,140500000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,102.908.966.822,132.360.000.000,102908966822.0,132360000000.0
Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,Thu tiền cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Thu tiền cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,160.835.511.232,22.000.000.000,160835511232.0,22000000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Thu tiền cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,61.252.184.834,30.700.000.000,61252184834.0,30700000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,Lãi cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Lãi cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,11.584.903.331,6.427.261.642,11584903331.0,6427261642.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Lãi cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,22.194.744.604,12.781.357.972,22194744604.0,12781357972.0
Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,Cổ tức nhận được,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Cổ tức nhận được > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,167.500.000.000,118.125.000.000,167500000000.0,118125000000.0
Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,Góp vốn vào công ty con,,
Công ty CP Đầu tư và Phát triển Nha Trang,Góp vốn vào công ty con > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,207.900.000.000,,207900000000.0,
Công ty CP Phát triển khu công nghiệp C.E.O,Góp vốn vào công ty con > Công ty CP Phát triển khu công nghiệp C.E.O,Công ty CP Phát triển khu công nghiệp C.E.O,445.500.000.000,,445500000000.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Góp vốn vào công ty con > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,,493.750.000.000,,493750000000.0
Thoái vốn khởi công ty con,Thoái vốn khởi công ty con,Thoái vốn khởi công ty con,Thoái vốn khởi công ty con,Thoái vốn khởi công ty con,,
Công ty CP Phát triển dịch vụ C.E.O,Thoái vốn khởi công ty con > Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,,33.150.000.000,,33150000000.0
Công ty CP Du lịch C.E.O,Thoái vốn khởi công ty con > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,,10.200.000.000,,10200000000.0
b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,31/12/2025,01/01/2025,,
b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,b) Số dư với các bên liên quan,VND,VND,,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Phải thu khách hàng > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,18.527.349.243,3.094.916.420,18527349243.0,3094916420.0
Công ty CP Phát triển nhà và Độ thị Phú Quốc,Phải thu khách hàng > Công ty CP Phát triển nhà và Độ thị Phú Quốc,Công ty CP Phát triển nhà và Độ thị Phú Quốc,432.101.315,,432101315.0,
Công ty CP Xây dựng C.E.O,Phải thu khách hàng > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,452.903.870,5.914.191.251,452903870.0,5914191251.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải thu khách hàng > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,513.990.800,36.630.440,513990800.0,36630440.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Phải thu khách hàng > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,207.883.987,239.745.311,207883987.0,239745311.0
Công ty TNHH C.E.O Hospitality,Phải thu khách hàng > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,129.600.000,,129600000.0,
Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Phải thu khách hàng > Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,Công ty TNHH MTV Xây dựng C.E.O Vân Đồn,,1.348.828.054,,1348828054.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu khách hàng > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,1.687.309.283,446.810.246,1687309283.0,446810246.0
Công ty TNHH C.E.O Quốc tế,Phải thu khách hàng > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,72.626.687,,72626687.0,
Công ty CP Đầu tư và Phát triển Nha Trang,Phải thu khách hàng > Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,3.702.215.631,,3702215631.0,
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,,
Công ty CP Xây dựng C.E.O,Trả trước cho người bán > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,31.112.446.225,520.920.839,31112446225.0,520920839.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Trả trước cho người bán > Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,1.571.544.203,1.107.340.249,1571544203.0,1107340249.0
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Trả trước cho người bán > Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,29.310.161.137,11.928.052.057,29310161137.0,11928052057.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu về cho vay > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,115.047.408.218,205.500.000.000,115047408218.0,205500000000.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải thu về cho vay > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,321.036.781.988,279.380.000.000,321036781988.0,279380000000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải thu khác > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,4.097.423.237,5.516.430.822,4097423237.0,5516430822.0
Công ty CP Xây dựng C.E.O,Phải thu khác > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,,727.173,,727173.0
