row_label_raw,row_label_full,Khoản mục,"Bản quyền, bằng sáng chế",Chương trình phần mềm,"Nhân hiệu, tên thương mại",Tổng cộng,"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,"numeric__Nhân hiệu, tên thương mại",numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2025,Nguyên giá > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,208.518.000,4.113.383.750,267.227.596,4.589.129.346,208518000.0,4113383750.0,267227596.0,4589129346.0
Số dư ngày 31/12/2025,Nguyên giá > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,208.518.000,4.113.383.750,267.227.596,4.589.129.346,208518000.0,4113383750.0,267227596.0,4589129346.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2025,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,208.518.000,3.366.496.653,267.227.596,3.842.242.249,208518000.0,3366496653.0,267227596.0,3842242249.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,-,204.000.000,-,204.000.000,,204000000.0,,204000000.0
Số dư ngày 31/12/2025,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,208.518.000,3.570.496.653,267.227.596,4.046.242.249,208518000.0,3570496653.0,267227596.0,4046242249.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2025,Giá trị còn lại > Tại ngày 01/01/2025,Tại ngày 01/01/2025,-,746.887.097,-,746.887.097,,746887097.0,,746887097.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,-,542.887.097,-,542.887.097,,542887097.0,,542887097.0
