row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2025,Đơn vị tính: VND Năm 2024,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025,numeric__Đơn vị tính: VND Năm 2024
I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,I Lưu chuyển tiền từ hoạt động kinh doanh,,,,
1. Lợi nhuận trước thuế,I Lưu chuyển tiền từ hoạt động kinh doanh > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,,235.261.994.992,164.054.665.126,1.0,,235261994992.0,164054665126.0
2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,2. Điều chỉnh cho các khoản,,,,
- Khấu hao TSCĐ và Bất động sản đầu tư,2. Điều chỉnh cho các khoản > - Khấu hao TSCĐ và Bất động sản đầu tư,- Khấu hao TSCĐ và Bất động sản đầu tư,02,,7.434.637.620,7.099.536.630,2.0,,7434637620.0,7099536630.0
- Các khoản dự phòng,2. Điều chỉnh cho các khoản > - Các khoản dự phòng,- Các khoản dự phòng,03,,6.879.724.957,6.723.333.959,3.0,,6879724957.0,6723333959.0
"- Lãi, lỗ từ hoạt động đầu tư","2. Điều chỉnh cho các khoản > - Lãi, lỗ từ hoạt động đầu tư","- Lãi, lỗ từ hoạt động đầu tư",05,,(250.374.016.669),(199.848.885.107),5.0,,-250374016669.0,-199848885107.0
- Chỉ phí lãi vay,2. Điều chỉnh cho các khoản > - Chỉ phí lãi vay,- Chỉ phí lãi vay,06,,1.513.755.216,2.067.822.681,6.0,,1513755216.0,2067822681.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,716.096.116,(19.903.526.711),8.0,,716096116.0,-19903526711.0
"- Tăng, giảm các khoản phải thu","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải thu","- Tăng, giảm các khoản phải thu",09,,(52.711.892.945),24.006.856.164,9.0,,-52711892945.0,24006856164.0
"- Tăng, giảm hàng tồn kho","2. Điều chỉnh cho các khoản > - Tăng, giảm hàng tồn kho","- Tăng, giảm hàng tồn kho",10,,(31.977.121.107),(45.044.729.836),10.0,,-31977121107.0,-45044729836.0
