row_label_raw,row_label_full,Công ty TNHH MTV Phú Kiên Phú Quốc,18.553.238.572,4.427.268.111,numeric__18.553.238.572,numeric__4.427.268.111
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,14.175.000,378.000.000,14175000.0,378000000.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,5.270.996,-,5270996.0,
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,
Công ty CP Du lịch C.E.O,Phải trả người bán > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,1.228.540.400,1.813.920.000,1228540400.0,1813920000.0
Công ty TNHH C.E.O Hospitality,Phải trả người bán > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,10.807.735.093,4.296.438.636,10807735093.0,4296438636.0
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Phải trả người bán > Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,86.100.000,-,86100000.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải trả người bán > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,33.250.000,-,33250000.0,
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải trả người bán > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,-,18.150.000,,18150000.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,
Công ty TNHH C.E.O Quốc tế,Người mua trả tiền trước > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,80.310.640,,80310640.0
