row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2025,01/01/2025,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2025,numeric__01/01/2025
C,C,C,NỘ PHẢI TRẢ,300,,362.029.266.349,345.992.373.561,,300.0,,362029266349.0,345992373561.0
I,I,I,Nợ ngắn hạn,310,,205.612.118.642,230.857.787.092,,310.0,,205612118642.0,230857787092.0
1,1,1,Phải trả người bán ngắn hạn,311,V.14.,40.207.984.886,31.178.020.793,,311.0,,40207984886.0,31178020793.0
2,2,2,Người mua trả tiền trước ngắn hạn,312,V.15.,18.579.617.991,6.782.252.551,,312.0,,18579617991.0,6782252551.0
3,3,3,Thuế và các khoản phải nộp Nhà nước,313,V.16.,160.196.345,224.948.071,,313.0,,160196345.0,224948071.0
4,4,4,Phải trả người lao động,314,,6.020.909.591,3.127.898.838,,314.0,,6020909591.0,3127898838.0
5,5,5,Chi phí phải trả ngắn hạn,315,V.17.,166.601.655,103.660.632,,315.0,,166601655.0,103660632.0
6,6,6,Doanh thu chưa thực hiện ngắn hạn,318,V.18.,3.308.103.219,3.718.743.652,,318.0,,3308103219.0,3718743652.0
7,7,7,Phải trả ngắn hạn khác,319,V.20.,124.318.580.883,130.824.206.180,,319.0,,124318580883.0,130824206180.0
8,8,8,Vay và nợ thuê tài chính ngắn hạn,320,V.19.,1.283.483.670,33.742.181.141,,320.0,,1283483670.0,33742181141.0
9,9,9,"Quỹ khen thưởng, phúc lợi",322,,11.566.640.402,21.155.875.234,,322.0,,11566640402.0,21155875234.0
II,II,II,Nợ dài hạn,330,,156.417.147.707,115.134.586.469,,330.0,,156417147707.0,115134586469.0
1,1,1,Doanh thu chưa thực hiện dài hạn,336,V.18.,68.354.864.690,70.671.978.718,,336.0,,68354864690.0,70671978718.0
2,2,2,Phải trả dài hạn khác,337,V.20.,31.437.847.259,30.861.341.757,,337.0,,31437847259.0,30861341757.0
3,3,3,Vay và nợ thuê tài chính dài hạn,338,V.19.,56.624.435.758,13.601.265.994,,338.0,,56624435758.0,13601265994.0
D,D,D,VỐN CHỦ SỞ HỮU,400,,6.411.148.068.135,6.193.212.569.765,,400.0,,6411148068135.0,6193212569765.0
I,I,I,Vốn chủ sở hữu,410,V.21.,6.411.148.068.135,6.193.212.569.765,,410.0,,6411148068135.0,6193212569765.0
1,1,1,Vốn góp của chủ sở hữu,411,,5.674.160.750.000,5.404.064.320.000,,411.0,,5674160750000.0,5404064320000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,5.674.160.750.000,5.404.064.320.000,,,,5674160750000.0,5404064320000.0
2,2,2,Thặng dư vốn cổ phần,412,,(433.150.000),(433.150.000),,412.0,,-433150000.0,-433150000.0
3,3,3,Quỹ đầu tư phát triển,418,,112.260.324.042,104.978.620.895,,418.0,,112260324042.0,104978620895.0
4,4,4,Lợi nhuận sau thuế chưa phân phối,421,,625.160.144.093,684.602.778.870,,421.0,,625160144093.0,684602778870.0
,,,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,389.898.149.101,520.548.113.744,,,,389898149101.0,520548113744.0
,,,- LNST chưa phân phối năm nay,421b,,235.261.994.992,164.054.665.126,,,,235261994992.0,164054665126.0
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,6.773.177.334.484,6.539.204.943.326,,440.0,,6773177334484.0,6539204943326.0
