row_label_raw,row_label_full,Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2025 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,31/12/2025 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2025 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,01/01/2025 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2025 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__31/12/2025 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2025 > Giá gốc > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi,numeric__01/01/2025 > Giá trị có thể thu hồi > Tổng giá trị các khoản phải thu quá hạn thanh toán hoặc chưa quá hạn nhưng khó có khả năng thu hồi
Phải thu của khách hàng,Phải thu của khách hàng,Phải thu của khách hàng,2.138.846.350,-,2.578.846.350,-,2138846350.0,,2578846350.0,
Trần Phương Chinh,Trần Phương Chinh,Trần Phương Chinh,-,-,440.000.000,-,,,440000000.0,
