row_label_raw,row_label_full,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_1,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_2,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_3,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_4,numeric__BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (tiếp theo)(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính riêng kèm theo)_5
"9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình","9. Tăng, giảm tài sản cố định hữu hình",,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc",Phương tiện vận tải,"Thiết bị, dụng cụquản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,
Số dư ngày 01/01/2025,Nguyên giá > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,27.031.710.641,8.917.690.455,2.848.419.273,1.550.417.005,40.348.237.374,27031710641.0,8917690455.0,2848419273.0,1550417005.0,40348237374.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,5.100.800.000,701.611.869,73.814.814,5.876.226.683,,5100800000.0,701611869.0,73814814.0,5876226683.0
Số dư ngày 31/12/2025,Nguyên giá > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,27.031.710.641,14.018.490.455,3.550.031.142,1.624.231.819,46.224.464.057,27031710641.0,14018490455.0,3550031142.0,1624231819.0,46224464057.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,
Số dư ngày 01/01/2025,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,9.774.300.843,829.350.471,2.773.046.171,1.550.417.005,14.927.114.490,9774300843.0,829350471.0,2773046171.0,1550417005.0,14927114490.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,791.373.384,1.327.244.640,103.587.065,13.532.719,2.235.737.808,791373384.0,1327244640.0,103587065.0,13532719.0,2235737808.0
Số dư ngày 31/12/2025,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2025,Số dư ngày 31/12/2025,10.565.674.227,2.156.595.111,2.876.633.236,1.563.949.724,17.162.852.298,10565674227.0,2156595111.0,2876633236.0,1563949724.0,17162852298.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,,
Tại ngày 01/01/2025,Giá trị còn lại > Tại ngày 01/01/2025,Tại ngày 01/01/2025,17.257.409.798,8.088.339.984,75.373.102,-,25.421.122.884,17257409798.0,8088339984.0,75373102.0,,25421122884.0
Tại ngày 31/12/2025,Giá trị còn lại > Tại ngày 31/12/2025,Tại ngày 31/12/2025,16.466.036.414,11.861.895.344,673.397.906,60.282.095,29.061.611.759,16466036414.0,11861895344.0,673397906.0,60282095.0,29061611759.0
