row_label_raw,row_label_full,1. Bán hàng trong năm,5.800.000,25.572.496.091,numeric__5.800.000,numeric__25.572.496.091
- Cho thuê Tài Sàn,- Cho thuê Tài Sàn,- Cho thuê Tài Sàn,,876.000.000,,876000000.0
- Mua nguyên liệu,- Mua nguyên liệu,- Mua nguyên liệu,,18.896.896.091,,18896896091.0
- Thanh lý tài sản,- Thanh lý tài sản,- Thanh lý tài sản,,5.799.600.000,,5799600000.0
"- Nhà hàng, khách sạn","- Nhà hàng, khách sạn","- Nhà hàng, khách sạn",5.800.000,,5800000.0,
2. Thu tiền trong năm,2. Thu tiền trong năm,2. Thu tiền trong năm,223.070.000.000,206.500.000.000,223070000000.0,206500000000.0
- Thu tiền cổ tức,- Thu tiền cổ tức,- Thu tiền cổ tức,160.000.000.000,20.000.000.000,160000000000.0,20000000000.0
- Vay huy động vốn,- Vay huy động vốn,- Vay huy động vốn,63.070.000.000,186.500.000.000,63070000000.0,186500000000.0
3. Chi tiền trong năm,3. Chi tiền trong năm,3. Chi tiền trong năm,137.275.036.000,465.376.991.448,137275036000.0,465376991448.0
- Trả tiền vay,- Trả tiền vay,- Trả tiền vay,126.000.000.000,437.986.666.667,126000000000.0,437986666667.0
- Trả lãi vay,- Trả lãi vay,- Trả lãi vay,11.275.036.000,27.390.324.781,11275036000.0,27390324781.0
