row_label_raw,row_label_full,Investment properties for lease,Opening balance,Increase,Decrease,Closing balance,numeric__Opening balance,numeric__Increase,numeric__Decrease,numeric__Closing balance
Historical cost,Historical cost,Historical cost,"251,862,415,228","37,171,750,041","12,868,905,277","276,165,259,992",,,,
- Land use rights,- Land use rights,- Land use rights,"87,634,581,863",,"12,868,905,277","74,765,676,586",,,,
- Housing,- Housing,- Housing,"164,227,833,365","37,171,750,041",,"201,399,583,406",,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,"62,344,313,070","5,918,269,814","2,843,740,035","65,418,842,849",,,,
- Housing,- Housing,- Housing,"62,344,313,070","5,918,269,814","2,843,740,035","65,418,842,849",,,,
Net book value,Net book value,Net book value,"189,518,102,158",,,"210,746,417,143",,,,
- Land use rights,- Land use rights,- Land use rights,"87,634,581,863",,,"74,765,676,586",,,,
- Housing,- Housing,- Housing,"101,883,520,295",,,"135,980,740,557",,,,
