row_label_raw,row_label_full,Họ tên,Chức vụ,Năm nay,Năm trước,numeric__Chức vụ,numeric__Năm nay,numeric__Năm trước
Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,Tổng Thù lao Hội đồng quản trị,,874.615.000,824.800.000,,874615000.0,824800000.0
Lê Văn Thành,Lê Văn Thành,Lê Văn Thành,Chủ tịch,360.000.000,225.600.000,,360000000.0,225600000.0
Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Lê Thị Nguyệt Thu,Nguyễn Chủ tịch,,134.400.000,,,134400000.0
Nguyễn Văn Hung,Nguyễn Văn Hung,Nguyễn Văn Hung,Phó chủ tịch,214.615.000,120.000.000,,214615000.0,120000000.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Thành viên,,44.800.000,,,44800000.0
Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Nguyễn Thị Hồng Loan,Thành viên,300.000.000,300.000.000,,300000000.0,300000000.0
Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,Tổng lương Ban Giám Đốc,,5.972.600.000,6.501.291.125,,5972600000.0,6501291125.0
Lê Tuấn Anh,Lê Tuấn Anh,Lê Tuấn Anh,Tổng Giám Đốc,1.115.080.000,897.880.400,,1115080000.0,897880400.0
Lê Thanh Thuấn,Lê Thanh Thuấn,Lê Thanh Thuấn,Nguyễn Tổng Giám Đốc,,1.162.742.500,,,1162742500.0
Nguyễn Văn Hung,Nguyễn Văn Hung,Nguyễn Văn Hung,Phó Tổng Giám Đốc,,,,,
Lê Văn Thành,Nguyễn Văn Hung > Lê Văn Thành,Lê Văn Thành,Phó Tổng Giám Đốc,924.500.000,766.812.500,,924500000.0,766812500.0
Lê Xuân Quế,Nguyễn Văn Hung > Lê Xuân Quế,Lê Xuân Quế,Phó Tổng Giám Đốc,899.850.000,933.526.000,,899850000.0,933526000.0
Trương Vĩnh Thành,Nguyễn Văn Hung > Trương Vĩnh Thành,Trương Vĩnh Thành,Phó Tổng Giám Đốc,671.910.000,661.093.400,,671910000.0,661093400.0
Lê Thị Phượng,Nguyễn Văn Hung > Lê Thị Phượng,Lê Thị Phượng,Phó Tổng Giám Đốc,672.710.000,661.643.400,,672710000.0,661643400.0
Lê Nguyễn Hoàng Anh Duy,Nguyễn Văn Hung > Lê Nguyễn Hoàng Anh Duy,Lê Nguyễn Hoàng Anh Duy,Phó Tổng Giám Đốc,676.150.000,519.513.600,,676150000.0,519513600.0
Trương Công Khánh,Nguyễn Văn Hung > Trương Công Khánh,Trương Công Khánh,Giám Đốc Tài Chính,568.300.000,492.390.100,,568300000.0,492390100.0
Ngô Thị Tổ Ngân,Nguyễn Văn Hung > Ngô Thị Tổ Ngân,Ngô Thị Tổ Ngân,Kế Toán Trường,444.100.000,405.689.225,,444100000.0,405689225.0
