row_label_raw,row_label_full,Over 1 year to 5 years (continued),Closing balance,Closing balance_1,Incur,Incur_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Incur,numeric__Incur_1,numeric__Opening balance,numeric__Opening balance_1
Over 1 year to 5 years (continued),Over 1 year to 5 years (continued),Over 1 year to 5 years (continued),Value,Recoverable value,Increase,Decrease,Value,Recoverable value,,,,,,
Related parties,Related parties,Related parties,"90,630,000,000","90,630,000,000","1,547,070,000,000","1,996,430,000,000","539,990,000,000","539,990,000,000",,,,,,
Travel Investment & Seafood Development Corporation,Travel Investment & Seafood Development Corporation,Travel Investment & Seafood Development Corporation,,,"26,700,000,000","199,700,000,000","173,000,000,000","173,000,000,000",,,,,,
Financial Investment & International Media Corporation,Financial Investment & International Media Corporation,Financial Investment & International Media Corporation,"4,630,000,000","4,630,000,000","10,330,000,000","16,200,000,000","10,500,000,000","10,500,000,000",,,,,,
Dong Thap Tourist JSC,Dong Thap Tourist JSC,Dong Thap Tourist JSC,,,,"7,000,000,000","7,000,000,000","7,000,000,000",,,,,,
Long An Europlast Solar Power Joint Stock Company,Long An Europlast Solar Power Joint Stock Company,Long An Europlast Solar Power Joint Stock Company,"86,000,000,000","86,000,000,000","276,340,000,000","255,630,000,000","65,290,000,000","65,290,000,000",,,,,,
International Development and Investment Corporation (I.D.I),International Development and Investment Corporation (I.D.I),International Development and Investment Corporation (I.D.I),,,"1,233,700,000,000","1,517,900,000,000","284,200,000,000","284,200,000,000",,,,,,
Over 5 years,Over 5 years,Over 5 years,"1,594,000,000,000","1,594,000,000,000",,"284,000,000,000","1,878,000,000,000","1,878,000,000,000",,,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Thap Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Thap Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade - Dong Thap Branch,"1,594,000,000,000","1,594,000,000,000",,"284,000,000,000","1,878,000,000,000","1,878,000,000,000",,,,,,
Total,Total,Total,"5,156,577,286,005","5,156,577,286,005","5,421,234,370,980","3,777,074,123,000","3,512,417,038,025","3,512,417,038,025",,,,,,
