row_label_raw,row_label_full,a) Long-term work in progress,a) Long-term work in progress_1,a) Long-term work in progress_2,numeric__a) Long-term work in progress_1,numeric__a) Long-term work in progress_2
b) Long-term construction in progress,b) Long-term construction in progress,b) Long-term construction in progress,"508,127,681,338","189,516,800,700",,
Purchase,Purchase,Purchase,"17,988,430,972","5,758,883,653",,
Construction in progress,Construction in progress,Construction in progress,"490,139,250,366","183,757,917,047",,
- GTGT BK3,- GTGT BK3,- GTGT BK3,,"1,147,923,083",,
- Hoa Binh residential area,- Hoa Binh residential area,- Hoa Binh residential area,,"1,653,591,160",,
- My Tho urban area,- My Tho urban area,- My Tho urban area,,"882,034,099",,
- Solar power plant - Tinh Bien An Giang,- Solar power plant - Tinh Bien An Giang,- Solar power plant - Tinh Bien An Giang,"55,992,877,500","55,992,877,500",,
- Lam Son Residential Area Gold Star,- Lam Son Residential Area Gold Star,- Lam Son Residential Area Gold Star,,"6,904,811,700",,
- Solar Project In Ea H'Leo District - Dak Lak,- Solar Project In Ea H'Leo District - Dak Lak,- Solar Project In Ea H'Leo District - Dak Lak,"174,000,000","174,000,000",,
- Tan Chau Residential Area - An Giang,- Tan Chau Residential Area - An Giang,- Tan Chau Residential Area - An Giang,,"34,315,727,108",,
- Sao Mai Residential Area Binh Khanh 4,- Sao Mai Residential Area Binh Khanh 4,- Sao Mai Residential Area Binh Khanh 4,,"1,000,000,000",,
- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,- Sao Mai Tay Khanh New Urban Area 4+5 My Hoa area,,"1,000,000,000",,
"- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town, Trieu Son District","- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town, Trieu Son District","- Sao Mai New Urban Area, Minh Son Commune & Trieu Son Town, Trieu Son District",,"48,293,491,853",,
- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),- Tho Xuan Resort Thanh Hoa Lamori Resort & Spa (KINGLE),"429,680,781,098","28,488,829,637",,
- Office - Dak Nong Branch,- Office - Dak Nong Branch,- Office - Dak Nong Branch,"1,328,064,636","1,328,064,636",,
- Others,- Others,- Others,"2,963,527,132","2,576,566,271",,
Total,Total,Total,"508,127,681,338","189,516,800,700",,
