row_label_raw,row_label_full,16. ADVANCES FROM CUSTOMERS,16. ADVANCES FROM CUSTOMERS_1,16. ADVANCES FROM CUSTOMERS_2,16. ADVANCES FROM CUSTOMERS_3,16. ADVANCES FROM CUSTOMERS_4,numeric__16. ADVANCES FROM CUSTOMERS_1,numeric__16. ADVANCES FROM CUSTOMERS_2,numeric__16. ADVANCES FROM CUSTOMERS_3,numeric__16. ADVANCES FROM CUSTOMERS_4
,,,Closing balance,Closing balance,Opening balance,Opening balance,,,,
,,,Value,Recoverable value,Value,Recoverable value,,,,
a) Short - term (*),a) Short - term (*),a) Short - term (*),"29,927,365,559","29,927,365,559","250,940,197,141","250,940,197,141",,,,
Other parties,Other parties,Other parties,"29,444,000,559","29,444,000,559","250,940,197,141","250,940,197,141",,,,
+ Sao Mai Ben Tre Construction And Investment Joint Stock Company,+ Sao Mai Ben Tre Construction And Investment Joint Stock Company,+ Sao Mai Ben Tre Construction And Investment Joint Stock Company,"5,900,000,000","5,900,000,000",,,,,,
+ Net Zero Carbon Jsc,+ Net Zero Carbon Jsc,+ Net Zero Carbon Jsc,"1,325,402,712","1,325,402,712","1,767,204,483","1,767,204,483",,,,
+ Others,+ Others,+ Others,"22,218,597,847","22,218,597,847","249,172,992,658","249,172,992,658",,,,
Related parties,Related parties,Related parties,"483,365,000","483,365,000",,,,,,
International Development and Investment Corporation (I.D.I),International Development and Investment Corporation (I.D.I),International Development and Investment Corporation (I.D.I),"83,365,000","83,365,000",,,,,,
An Giang Tourimex Joint Stock Company,An Giang Tourimex Joint Stock Company,An Giang Tourimex Joint Stock Company,"400,000,000","400,000,000",,,,,,
b) Long - term,b) Long - term,b) Long - term,,,,,,,,
Total,Total,Total,"29,927,365,559","29,927,365,559","250,940,197,141","250,940,197,141",,,,
Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,Additional notes present information on prepayments by major business segment:,,,,
,,,Closing balance,Closing balance,Opening balance,Opening balance,,,,
,,,Value,Recoverable value,Value,Recoverable value,,,,
a) Short - term,a) Short - term,a) Short - term,"29,927,365,559","29,927,365,559","250,940,197,141","250,940,197,141",,,,
Real estate transfer,Real estate transfer,Real estate transfer,"21,505,398,200","21,505,398,200","42,656,631,423","42,656,631,423",,,,
Production and trade,Production and trade,Production and trade,"22,100,000","22,100,000","193,507,618,337","193,507,618,337",,,,
Solar power supply,Solar power supply,Solar power supply,"1,325,402,712","1,325,402,712","1,767,204,483","1,767,204,483",,,,
"Tourism, restaurant and hotel services","Tourism, restaurant and hotel services","Tourism, restaurant and hotel services","6,980,267,647","6,980,267,647","12,844,862,898","12,844,862,898",,,,
Others payables,Others payables,Others payables,"94,197,000","94,197,000","163,880,000","163,880,000",,,,
b) Long - term,b) Long - term,b) Long - term,,,,,,,,
Total,Total,Total,"29,927,365,559","29,927,365,559","250,940,197,141","250,940,197,141",,,,
