row_label_raw,row_label_full,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Lợi nhuận sau thuế,Lợi nhuận chưa phân phối,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Lợi nhuận sau thuế,numeric__Lợi nhuận chưa phân phối
1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,1. Công ty Cổ phần Dũng Thịnh Phát Sài Gòn,"66,00%","66,00%",(8.798.223),83.782.136,0.66,0.66,-8798223.0,83782136.0
2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,2. Công ty Cổ phần Du Lịch Đồng Tháp,"86,76%","86,76%",1.912.012.161,4.960.011.431,0.8676,0.8676,1912012161.0,4960011431.0
3. Công ty Cổ phần Du Lịch An Giang,3. Công ty Cổ phần Du Lịch An Giang,3. Công ty Cổ phần Du Lịch An Giang,"71,82%","71,82%",6.711.303.432,9.726.625.786,0.7182,0.7182,6711303432.0,9726625786.0
4. Công ty Cổ phần Nhụt Hồng,4. Công ty Cổ phần Nhụt Hồng,4. Công ty Cổ phần Nhụt Hồng,"60,00%","60,00%",20.290.312.781,168.186.492.884,0.6,0.6,20290312781.0,168186492884.0
5. Công ty TNHH Sao Mai Super Feed,5. Công ty TNHH Sao Mai Super Feed,5. Công ty TNHH Sao Mai Super Feed,"100,00%","100,00%",112.289.336.353,207.941.964.594,1.0,1.0,112289336353.0,207941964594.0
6. Công ty TNHH TM Sao Mai Solar,6. Công ty TNHH TM Sao Mai Solar,6. Công ty TNHH TM Sao Mai Solar,"100,00%","100,00%",5.853.474.981,44.887.885.209,1.0,1.0,5853474981.0,44887885209.0
7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,7. Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia I.D.I,"51,23%","51,23%",72.676.467.900,201.971.424.074,0.5123,0.5123,72676467900.0,201971424074.0
8. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,8. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,8. Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,"43,95%","82,67%",58.876.691.423,151.854.378.563,0.4395,0.8267,58876691423.0,151854378563.0
9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,9. Công ty Cổ phần Điện Mặt Trời EUROPLAST Long An,"76,67%","76,67%",87.787.046.826,237.436.532.529,0.7667,0.7667,87787046826.0,237436532529.0
10. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,10. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,10. Công ty Cổ phần Đầu Tư Vĩnh An Đắk Nông,"49,94%","97,50%",(47.308.545),(609.712.453),0.49939999999999996,0.975,-47308545.0,-609712453.0
11. Công ty TNHH Sinh Học MAIKI JAPAN,11. Công ty TNHH Sinh Học MAIKI JAPAN,11. Công ty TNHH Sinh Học MAIKI JAPAN,"51,00%","51,00%",124.985.579,10.261.116,0.51,0.51,124985579.0,10261116.0
