row_label_raw,row_label_full,Name,Address,Ratio of benefit,Ratio of voting power,numeric__Address,numeric__Ratio of benefit,numeric__Ratio of voting power
1. Dung Thinh Phat Sai Gon Joint Stock Company,1. Dung Thinh Phat Sai Gon Joint Stock Company,1. Dung Thinh Phat Sai Gon Joint Stock Company,"09 Nguyen Kim Street, Ward 12, District 5, Ho Chi Minh City",66.00%,66.00%,,66.0,66.0
2. Dong Thap Tourist Joint Stock Company,2. Dong Thap Tourist Joint Stock Company,2. Dong Thap Tourist Joint Stock Company,"06 Doc Binh Kieu, 2 Ward, Cao Lanh city, Dong Thap province",86.76%,86.76%,,86.76,86.76
3. An Giang Tourimex Joint Stock Company,3. An Giang Tourimex Joint Stock Company,3. An Giang Tourimex Joint Stock Company,"17 Nguyen Van Cung, My Long, Long Xuyen, An Giang",71.82%,71.82%,,71.82,71.82
4. Nhut Hong Joint Stock Company,4. Nhut Hong Joint Stock Company,4. Nhut Hong Joint Stock Company,"VCCI Buildings, 4th Floor, 12 Hoa Binh, An Cu Ward, Ninh Kieu province, Can Tho city",60.00%,60.00%,,60.0,60.0
"5. Sao Mai Super Feed Co.,Ltd","5. Sao Mai Super Feed Co.,Ltd","5. Sao Mai Super Feed Co.,Ltd","Industrial clusters Vam Cong, An Thanh, Binh Thanh, Lap Vo district, Dong Thap province",100.00%,100.00%,,100.0,100.0
"6. Sao Mai Solar Co.,Ltd","6. Sao Mai Solar Co.,Ltd","6. Sao Mai Solar Co.,Ltd","326 Hung Vuong, My Long ward, Long Xuyen city, An Giang",100.00%,100.00%,,100.0,100.0
7. International Development and Investment Corporation (I.D.I),7. International Development and Investment Corporation (I.D.I),7. International Development and Investment Corporation (I.D.I),"Intional road 80, Vam Cong IP, Lap Vo district, Dong Thap province.",51.23%,51.23%,,51.23,51.23
8. Travel Investment and Seafood Development Corporation,8. Travel Investment and Seafood Development Corporation,8. Travel Investment and Seafood Development Corporation,"Intional road 80, Vam Cong IP, Lap Vo district, Dong Thap province.",43.95%,82.67%,,43.95,82.67
"9. Maiky Japan Ecology Co.,Ltd","9. Maiky Japan Ecology Co.,Ltd","9. Maiky Japan Ecology Co.,Ltd","29 Tran Hung Dao, My Thoi Ward, Long Xuyen city, An Giang province",51.00%,51.00%,,51.0,51.0
10. Long An Europlast Solar Power JSC,10. Long An Europlast Solar Power JSC,10. Long An Europlast Solar Power JSC,"Zone D, My Thanh Bac, Duc Hue district, Long An province.",86.40%,95.67%,,86.4,95.67
11. Vinh An Investment Company Dak Nong,11. Vinh An Investment Company Dak Nong,11. Vinh An Investment Company Dak Nong,"No. 1, Sub-zone 834, 3-storey cluster, Ea Po Commune, Cu Jut District, Dak Nong Province, Vietnam",49.94%,97.50%,,49.94,97.5
