row_label_raw,row_label_full,Chỉ tiêu > Năm nay,Điện mặt trời > Năm nay,Bắt động sản > Năm nay,Xây dựng > Năm nay,Thương mại > Năm nay,Doanh thu khác > Năm nay,Tổng cộng > Năm nay,numeric__Điện mặt trời > Năm nay,numeric__Bắt động sản > Năm nay,numeric__Xây dựng > Năm nay,numeric__Thương mại > Năm nay,numeric__Doanh thu khác > Năm nay,numeric__Tổng cộng > Năm nay
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,610.748.862.957,26.373.047.828,,993.470.209.964,1.130.818.295.278,2.761.410.416.027,610748862957.0,26373047828.0,,993470209964.0,1130818295278.0,2761410416027.0
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,4.021.489.298.234,4.390.708.053.476,143.309.330.295,1.325.540.035.728,1.772.855.552.880,11.653.902.270.613,4021489298234.0,4390708053476.0,143309330295.0,1325540035728.0,1772855552880.0,11653902270613.0
Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,166.883.915.957,,,,,,166883915957.0
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,572.538.010.129,127.622.952.753,18.197.787.022,155.010.159.764,1.925.658.604.082,2.799.027.513.750,572538010129.0,127622952753.0,18197787022.0,155010159764.0,1925658604082.0,2799027513750.0
Tải sản bộ phận,Năm trước > Tải sản bộ phận,Tải sản bộ phận,4.135.762.179.153,3.633.895.173.584,115.742.365.708,1.031.985.924.616,1.637.828.510.669,10.555.214.153.730,4135762179153.0,3633895173584.0,115742365708.0,1031985924616.0,1637828510669.0,10555214153730.0
Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Năm trước > Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chí phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,208.679.862.013,,,,,,208679862013.0
