row_label_raw,row_label_full,Related party,Relationship,numeric__Relationship
+ Dung Thinh Phat Sai Gon JSC,+ Dung Thinh Phat Sai Gon JSC,+ Dung Thinh Phat Sai Gon JSC,Subsidiary,
+ Dong Thap Tourist JSC,+ Dong Thap Tourist JSC,+ Dong Thap Tourist JSC,Subsidiary,
+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,Subsidiary,
+ Nhut Hong JSC,+ Nhut Hong JSC,+ Nhut Hong JSC,Subsidiary,
"+ Sao Mai Super Feed Co.,Ltd","+ Sao Mai Super Feed Co.,Ltd","+ Sao Mai Super Feed Co.,Ltd",Subsidiary,
"+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd",Subsidiary,
+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),Subsidiary,
+ Travel Investment & Seafood Development Corporation,+ Travel Investment & Seafood Development Corporation,+ Travel Investment & Seafood Development Corporation,Subsidiary,
"+ Maiky Japan Ecology Co.,Ltd","+ Maiky Japan Ecology Co.,Ltd","+ Maiky Japan Ecology Co.,Ltd",Subsidiary,
+ Long An Europlast Solar Power Joint Stock Company,+ Long An Europlast Solar Power Joint Stock Company,+ Long An Europlast Solar Power Joint Stock Company,Subsidiary,
+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,+ Vinh An Investment Company Dak Nong,Subsidiary,
+ Dong Thap Football JSC (*),+ Dong Thap Football JSC (*),+ Dong Thap Football JSC (*),Other long-term investments,
