row_label_raw,row_label_full,a) Ngoại tệ các loại,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"7.223,78","7.649,86",7223.78,7649.86
- Yên nhật,- Yên nhật,- Yên nhật,"5,00","5,00",5.0,5.0
