row_label_raw,row_label_full,a) Ngắn hạn,1.533.335.284.398,1.146.272.503.719,numeric__1.533.335.284.398,numeric__1.146.272.503.719
Bên khác,Bên khác,Bên khác,1.533.335.284.398,1.146.272.503.719,1533335284398.0,1146272503719.0
+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,+ Công ty Cổ Phần Vistar,74.153.508.915,57.717.750.410,74153508915.0,57717750410.0
+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,+ Ban GPMB KDC Tân Châu,275.925.249.700,255.547.112.700,275925249700.0,255547112700.0
+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),+ Ban QLDA GPMB (Bồi hoàn BK4),149.807.611.000,149.807.611.000,149807611000.0,149807611000.0
+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),+ Ban QLDA GPMB (Dự án Lam Sơn - Sao Vàng - Thọ Xuân),22.452.693.000,16.803.682.000,22452693000.0,16803682000.0
"+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giát)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giát)","+ Hội đồng BT GPMB huyện Triệu Sơn(KĐT Minh Sơn, Giát)",11.444.933.968,4.106.650.968,11444933968.0,4106650968.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,999.551.287.815,662.289.696.641,999551287815.0,662289696641.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,
Cộng,b) Dài hạn > Cộng,Cộng,1.533.335.284.398,1.146.272.503.719,1533335284398.0,1146272503719.0
