row_label_raw,row_label_full,col_0,Value,Recoverable value,Increase,Decrease,Value_1,Recoverable value_1,numeric__Value,numeric__Recoverable value,numeric__Increase,numeric__Decrease,numeric__Value_1,numeric__Recoverable value_1
Short-term borrowings-VND,Short-term borrowings-VND,Short-term borrowings-VND,"1,146,883,889,520","1,146,883,889,520","2,590,256,915,777","3,088,245,073,939","1,644,872,047,682","1,644,872,047,682",,,,,,
Other parties,Other parties,Other parties,"1,130,023,889,520","1,130,023,889,520","2,473,926,915,777","2,923,845,073,939","1,579,942,047,682","1,579,942,047,682",,,,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta,Joint Stock Commercial Bank for Investment and Development of Vietnam (BIDV) - Cuu Long Delta,"73,015,555,000","73,015,555,000","552,721,572,091","960,954,626,501","481,248,609,410","481,248,609,410",,,,,,
Tien Phong Commercial Joint Stock Bank (TPBank),Tien Phong Commercial Joint Stock Bank (TPBank),Tien Phong Commercial Joint Stock Bank (TPBank),"243,002,675,269","243,002,675,269","641,630,268,069","694,369,626,306","295,742,033,506","295,742,033,506",,,,,,
Vietnam Prosperity Joint Stock Commercial Bank (VPBank),Vietnam Prosperity Joint Stock Commercial Bank (VPBank),Vietnam Prosperity Joint Stock Commercial Bank (VPBank),"19,840,495,000","19,840,495,000","405,831,986,532","510,989,966,209","124,998,474,677","124,998,474,677",,,,,,
Asia Commercial Joint Stock Bank - An Giang Branch (ACB),Asia Commercial Joint Stock Bank - An Giang Branch (ACB),Asia Commercial Joint Stock Bank - An Giang Branch (ACB),"38,412,938,574","38,412,938,574","104,185,208,079","124,353,339,342","58,581,069,837","58,581,069,837",,,,,,
Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Kien Giang Branch,Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Kien Giang Branch,Joint Stock Commercial Bank For Foreign Trade Of Vietnam (VCB) - Kien Giang Branch,,,"28,222,689,782","42,130,093,984","13,907,404,202","13,907,404,202",,,,,,
Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,Prosperity and Growth Commercial Joint Stock Bank (PGBank) - An Giang Branch,"35,243,550,000","35,243,550,000","192,507,201,887","307,205,895,747","149,942,243,860","149,942,243,860",,,,,,
Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,Prosperity and Growth Commercial Joint Stock Bank (PGBank) - Ha Noi Branch,"11,780,000,000","11,780,000,000","11,780,000,000",,,,,,,,,
Others,Others,Others,"708,728,675,677","708,728,675,677","537,047,989,337","283,841,525,850","455,522,212,190","455,522,212,190",,,,,,
Related parties,Related parties,Related parties,"16,860,000,000","16,860,000,000","116,330,000,000","164,400,000,000","64,930,000,000","64,930,000,000",,,,,,
"Sao Mai Super Feed Co.,Ltd","Sao Mai Super Feed Co.,Ltd","Sao Mai Super Feed Co.,Ltd",,,"63,070,000,000","126,000,000,000","62,930,000,000","62,930,000,000",,,,,,
Dong Thap Tourist Joint Stock Company,Dong Thap Tourist Joint Stock Company,Dong Thap Tourist Joint Stock Company,,,,"2,000,000,000","2,000,000,000","2,000,000,000",,,,,,
"Maiky Japan Ecology Co.,Ltd","Maiky Japan Ecology Co.,Ltd","Maiky Japan Ecology Co.,Ltd","16,860,000,000","16,860,000,000","17,260,000,000","400,000,000",,,,,,,,
"Sao Mai Solar Co.,Ltd","Sao Mai Solar Co.,Ltd","Sao Mai Solar Co.,Ltd",,,"36,000,000,000","36,000,000,000",,,,,,,,
Short-term borrowings-USD,Short-term borrowings-USD,Short-term borrowings-USD,"398,595,600,000","398,595,600,000","398,595,600,000",,,,,,,,,
First Commercial Bank - HCM City Branch,First Commercial Bank - HCM City Branch,First Commercial Bank - HCM City Branch,"398,595,600,000","398,595,600,000","398,595,600,000",,,,,,,,,
Long-term debt due - VND,Long-term debt due - VND,Long-term debt due - VND,"295,934,000,000","295,934,000,000","295,934,000,000","311,758,000,000","311,758,000,000","311,758,000,000",,,,,,
Other parties,Other parties,Other parties,"295,934,000,000","295,934,000,000","295,934,000,000","311,758,000,000","311,758,000,000","311,758,000,000",,,,,,
Vietnam Joint Stock Commercial Bank for Industry and,Vietnam Joint Stock Commercial Bank for Industry and,Vietnam Joint Stock Commercial Bank for Industry and,,,,"25,850,000,000","25,850,000,000","25,850,000,000",,,,,,
