row_label_raw,row_label_full,Name,Ratio of benefit,Ratio of voting power,Profits after enterprise income tax,Undistributed earnings,numeric__Ratio of benefit,numeric__Ratio of voting power,numeric__Profits after enterprise income tax,numeric__Undistributed earnings
1. Dung Thinh Phat Sai Gon Joint Stock Company,1. Dung Thinh Phat Sai Gon Joint Stock Company,1. Dung Thinh Phat Sai Gon Joint Stock Company,66.00%,66.00%,"(8,798,223)","83,782,136",66.0,66.0,,
2. Dong Thap Tourist Joint Stock Company,2. Dong Thap Tourist Joint Stock Company,2. Dong Thap Tourist Joint Stock Company,86.76%,86.76%,"1,912,012,161","4,960,011,431",86.76,86.76,,
3. An Giang Tourimex Joint Stock Company,3. An Giang Tourimex Joint Stock Company,3. An Giang Tourimex Joint Stock Company,71.82%,71.82%,"6,711,303,432","9,726,625,786",71.82,71.82,,
Company,Company,Company,60.00%,60.00%,"20,290,312,781","168,186,492,884",60.0,60.0,,
"5. Sao Mai Super Feed Co.,Ltd","5. Sao Mai Super Feed Co.,Ltd","5. Sao Mai Super Feed Co.,Ltd",100.00%,100.00%,"112,289,336,353","207,941,964,594",100.0,100.0,,
"6. Sao Mai Solar Co.,Ltd","6. Sao Mai Solar Co.,Ltd","6. Sao Mai Solar Co.,Ltd",100.00%,100.00%,"5,853,474,981","44,887,885,209",100.0,100.0,,
7. International Development and Investment Corporation (I.D.I),7. International Development and Investment Corporation (I.D.I),7. International Development and Investment Corporation (I.D.I),51.23%,51.23%,"72,676,467,900","201,971,424,074",51.23,51.23,,
8. Travel Investment and Seafood Development Corporation,8. Travel Investment and Seafood Development Corporation,8. Travel Investment and Seafood Development Corporation,43.95%,82.67%,"58,876,691,423","151,854,378,563",43.95,82.67,,
9. Long An Europlast Solar Power JSC,9. Long An Europlast Solar Power JSC,9. Long An Europlast Solar Power JSC,76.67%,76.67%,"87,787,046,826","237,436,532,529",76.67,76.67,,
10. Vinh An Investment Company Dak Nong,10. Vinh An Investment Company Dak Nong,10. Vinh An Investment Company Dak Nong,49.94%,97.50%,"(47,308,545)","(609,712,453)",49.94,97.5,,
"11. Maiki Japan Ecology Co.,Ltd","11. Maiki Japan Ecology Co.,Ltd","11. Maiki Japan Ecology Co.,Ltd",51.00%,51.00%,"124,985,579","10,261,116",51.0,51.0,,
