row_label_raw,row_label_full,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_1,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_2,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_3,BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_4,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_1,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_2,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_3,numeric__BẢN THUYẾT MINH BẢO CÁO TÀI CHÍNH RIÊNGCho năm tài chính 2024 kết thúc tại ngày 31/12/2024_4
Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,Thông tin bộ phận (tiếp theo)a. Khu vực địa lýDon vị tính: VND,,,,
Năm trước,Năm trước,Năm trước,An Giang,Đồng Tháp,Địa bàn khác,Tổng cộng,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,685.048.294.243,2.019.057.368.584,94.921.850.923,2.799.027.513.750,685048294243.0,2019057368584.0,94921850923.0,2799027513750.0
Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,Doanh thu thuần cung cấp giữa các bộ phận,,,,-,,,,
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần cung cấp giữa các bộ phận > Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,685.048.294.243,2.019.057.368.584,94.921.850.923,2.799.027.513.750,685048294243.0,2019057368584.0,94921850923.0,2799027513750.0
Giá vốn hàng bán,Doanh thu thuần cung cấp giữa các bộ phận > Giá vốn hàng bán,Giá vốn hàng bán,263.704.602.644,1.984.021.957.647,76.470.795.963,2.324.197.356.254,263704602644.0,1984021957647.0,76470795963.0,2324197356254.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,421.343.691.599,35.035.410.937,18.451.054.960,474.830.157.496(116.579.934.732),421343691599.0,35035410937.0,18451054960.0,
Các chi phí không phân bổ theo bộ phận,Doanh thu thuần cung cấp giữa các bộ phận > Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,358.250.222.764,,,,358250222764.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,100.592.708.888(329.901.642.307),,,,
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,4.504.701.841(1.009.953.594),,,,
