row_label_raw,row_label_full,Long-term debt due - VND (Continued),Closing balance,Closing balance_1,Incur,Incur_1,Opening balance,Opening balance_1,numeric__Closing balance,numeric__Closing balance_1,numeric__Incur,numeric__Incur_1,numeric__Opening balance,numeric__Opening balance_1
Long-term debt due - VND (Continued),Long-term debt due - VND (Continued),Long-term debt due - VND (Continued),Value,Recoverable value,Increase,Decrease,Value,Recoverable value,,,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Dong Thap Branch,"284,000,000,000","284,000,000,000","284,000,000,000","227,000,000,000","227,000,000,000","227,000,000,000",,,,,,
- Vietnam Prosperity Joint Stock Commercial Bank - CN An Giang,- Vietnam Prosperity Joint Stock Commercial Bank - CN An Giang,- Vietnam Prosperity Joint Stock Commercial Bank - CN An Giang,"11,934,000,000","11,934,000,000","11,934,000,000",,,,,,,,,
Others,Others,Others,,,,"58,908,000,000","58,908,000,000","58,908,000,000",,,,,,
Related parties,Related parties,Related parties,,,,,,,,,,,,
Total,Total,Total,"1,841,413,489,520","1,841,413,489,520","3,284,786,515,777","3,400,003,073,939","1,956,630,047,682","1,956,630,047,682",,,,,,
b) Long-term borrowings,b) Long-term borrowings,b) Long-term borrowings,"5,156,577,286,005","5,156,577,286,005","5,421,234,370,980","3,777,074,123,000","3,512,417,038,025","3,512,417,038,025",,,,,,
Over 1 year to 5 years,Over 1 year to 5 years,Over 1 year to 5 years,"3,562,577,286,005","3,562,577,286,005","5,421,234,370,980","3,493,074,123,000","1,634,417,038,025","1,634,417,038,025",,,,,,
Other parties,Other parties,Other parties,"3,471,947,286,005","3,471,947,286,005","3,874,164,370,980","1,496,644,123,000","1,094,427,038,025","1,094,427,038,025",,,,,,
Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,Vietnam Joint Stock Commercial Bank for Industry and Trade (VietinBank) - Eastern Ha Noi Branch,,,"31,000,000,000","373,547,500,000","342,547,500,000","342,547,500,000",,,,,,
Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,"188,220,000,000","188,220,000,000","200,000,000,000","11,780,000,000",,,,,,,,
Prosperity and Growth Commercial Joint Stock Bank - An Giang Branch,Prosperity and Growth Commercial Joint Stock Bank - An Giang Branch,Prosperity and Growth Commercial Joint Stock Bank - An Giang Branch,"387,939,450,000","387,939,450,000","423,183,000,000","35,243,550,000",,,,,,,,
- Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,- Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,"274,456,673,853","274,456,673,853","286,390,673,853","11,934,000,000",,,,,,,,
First Commercial Bank - HCM City Branch,First Commercial Bank - HCM City Branch,First Commercial Bank - HCM City Branch,"1,594,382,400,000","1,594,382,400,000","1,992,978,000,000","398,595,600,000",,,,,,,,
Others,Others,Others,"1,026,948,762,152","1,026,948,762,152","940,612,697,127","665,543,473,000","751,879,538,025","751,879,538,025",,,,,,
