row_label_raw,row_label_full,1. Bán hàng trong năm,4.352.794.200,24.285.659.025,numeric__4.352.794.200,numeric__24.285.659.025
- Thi công XD DAKDC Cà Mau,- Thi công XD DAKDC Cà Mau,- Thi công XD DAKDC Cà Mau,,20.017.565.725,,20017565725.0
- Phí môi giới BĐS,- Phí môi giới BĐS,- Phí môi giới BĐS,3.692.794.200,3.333.093.300,3692794200.0,3333093300.0
- Cho thuê văn phòng,- Cho thuê văn phòng,- Cho thuê văn phòng,660.000.000,935.000.000,660000000.0,935000000.0
2. Thu tiền trong năm:,2. Thu tiền trong năm:,2. Thu tiền trong năm:,56.631.396.285,36.565.270.000,56631396285.0,36565270000.0
- Cho vay vốn,- Cho vay vốn,- Cho vay vốn,15.600.000.000,33.900.000.000,15600000000.0,33900000000.0
- Thu tiền cho vay,- Thu tiền cho vay,- Thu tiền cho vay,26.800.000.000,800.000.000,26800000000.0,800000000.0
- Thu lãi vay,- Thu lãi vay,- Thu lãi vay,2.636.021.000,1.865.270.000,2636021000.0,1865270000.0
- Thu tiền cho mượn tạm,- Thu tiền cho mượn tạm,- Thu tiền cho mượn tạm,11.595.375.285,,11595375285.0,
3. Chi tiền trong năm,3. Chi tiền trong năm,3. Chi tiền trong năm,11.595.375.285,,11595375285.0,
- Cho mượn tạm,- Cho mượn tạm,- Cho mượn tạm,11.595.375.285,,11595375285.0,
