row_label_raw,row_label_full,Current year,An Giang,Dong Thap,Others,Total,numeric__An Giang,numeric__Dong Thap,numeric__Others,numeric__Total
Net external sales,Net external sales,Net external sales,"1,569,130,431,974","1,100,111,757,400","92,168,226,653","2,761,410,416,027",,,,
Net inter-segment sales,Net inter-segment sales,Net inter-segment sales,,,,-,,,,
Total net sales,Total net sales,Total net sales,"1,569,130,431,974","1,100,111,757,400","92,168,226,653","2,761,410,416,027",,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"1,116,458,843,396","1,089,283,428,500","79,376,816,905","2,285,119,088,801",,,,
Segment financial performance,Segment financial performance,Segment financial performance,"452,671,588,578","10,828,328,900","12,791,409,748","476,291,327,226",,,,
Expenses not attributable to segments,Expenses not attributable to segments,Expenses not attributable to segments,,,,"(132,393,204,806)",,,,
Operating profit,Operating profit,Operating profit,,,,"343,898,122,420",,,,
Financial income,Financial income,Financial income,,,,"213,398,885,758",,,,
Financial expense,Financial expense,Financial expense,,,,"(338,946,081,001)",,,,
Other income,Other income,Other income,,,,"2,401,123,931",,,,
Other expenses,Other expenses,Other expenses,,,,"(24,012,931,949)",,,,
Current enterprise income tax expense,Current enterprise income tax expense,Current enterprise income tax expense,,,,"(6,408,882,511)",,,,
Deferred enterprise income tax expense,Deferred enterprise income tax expense,Deferred enterprise income tax expense,,,,,,,,
Profits after enterprise income tax,Profits after enterprise income tax,Profits after enterprise income tax,,,,"190,330,236,648",,,,
Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,,,,"166,883,915,957",,,,
Total depreciation and allocation of long-term prepayments.,Total depreciation and allocation of long-term prepayments.,Total depreciation and allocation of long-term prepayments.,,,,"168,463,048,834",,,,
