row_label_raw,row_label_full,"Buildings, plants",10 - 50 years,numeric__10 - 50 years
"Machinery, equipment","Machinery, equipment","Machinery, equipment",05 - 25 years,
"Transportation equipment, transmitters","Transportation equipment, transmitters","Transportation equipment, transmitters",06 - 10 years,
Office equipment and furniture,Office equipment and furniture,Office equipment and furniture,05 years,
Land use rights indefinitely,Land use rights indefinitely,Land use rights indefinitely,Excluding depreciation,
