row_label_raw,row_label_full,Closing balance,< 1 year,01 - 05 years,> 5 years,Total,numeric__< 1 year,numeric__01 - 05 years,numeric__> 5 years,numeric__Total
Trade payables,Trade payables,Trade payables,"129,019,170,859",,,"129,019,170,859",,,,
Advances from customers,Advances from customers,Advances from customers,"29,927,365,559",,,"29,927,365,559",,,,
Borrowings and debts,Borrowings and debts,Borrowings and debts,"1,841,413,489,520","3,562,577,286,005","1,594,000,000,000","6,997,990,775,525",,,,
Other payables,Other payables,Other payables,"21,869,080,355",,,"21,869,080,355",,,,
Total,Total,Total,"2,062,592,470,192","3,562,577,286,005","1,594,000,000,000","7,178,806,392,298",,,,
