row_label_raw,row_label_full,05. LOAN RECEIVABLES,05. LOAN RECEIVABLES_1,05. LOAN RECEIVABLES_2,numeric__05. LOAN RECEIVABLES_1,numeric__05. LOAN RECEIVABLES_2
,,,Closing balance,Opening balance,,
a) Short-term loan receivables,a) Short-term loan receivables,a) Short-term loan receivables,,"7,500,000,000",,
"+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd","+ Sao Mai Solar Co.,Ltd",,"7,500,000,000",,
b) Long-term loan receivables,b) Long-term loan receivables,b) Long-term loan receivables,"104,200,000,000","107,700,000,000",,
Related parties,Related parties,Related parties,"104,200,000,000","107,700,000,000",,
+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,"82,300,000,000","74,600,000,000",,
+ Nhut Hong Joint Stock Company,+ Nhut Hong Joint Stock Company,+ Nhut Hong Joint Stock Company,"21,900,000,000","33,100,000,000",,
Total,Total,Total,"104,200,000,000","107,700,000,000",,
