row_label_raw,row_label_full,Code,CAPITAL,Note,Closing balance,Opening balance,numeric__CAPITAL,numeric__Note,numeric__Closing balance,numeric__Opening balance
400,400,400,D. OWNER'S EQUITY,V.21,"4,315,701,855,265","4,127,371,618,617",,,,
410,410,410,I. Owner's equity,,"4,315,701,855,265","4,127,371,618,617",,,,
411,411,411,1. Owner's capital,,"3,701,782,500,000","3,365,267,520,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"3,701,782,500,000","3,365,267,520,000",,,,
411b,411b,411b,- Preference shares,,,,,,,
412,412,412,2. Share premium,,"45,056,200,000","45,056,200,000",,,,
413,413,413,3. Conversion options on convertible bonds,,,,,,,
414,414,414,4. Owners' other capital,,,,,,,
415,415,415,5. Treasury shares (*),,,,,,,
416,416,416,6. Differences upon asset revaluation,,,,,,,
417,417,417,7. Foreign exchange differences,,,,,,,
418,418,418,8. Investment and development fund,,"110,099,684,648","102,099,684,648",,,,
419,419,419,9. Enterprise reorganization assistance fund,,,,,,,
420,420,420,10. Other funds,,"4,971,647,795","4,971,647,795",,,,
421,421,421,11. Undistributed earnings,,"453,791,822,822","609,976,566,174",,,,
421a,421a,421a,- Undistributed earnings accumulated to the end of prior period,,"263,461,586,174","489,180,232,743",,,,
421b,421b,421b,- Undistributed earnings in this period,,"190,330,236,648","120,796,333,431",,,,
422,422,422,12. Investment reserve for basic construction,,,,,,,
430,430,430,II. Funding sources and other funds,,,,,,,
431,431,431,1. Funding sources,,,,,,,
432,432,432,2. Funds to form fixed assets,,,,,,,
440,440,440,TOTAL RESOURCES,,"11,653,902,270,613","10,555,214,153,730",,,,
