row_label_raw,row_label_full,Name,Position,Current year,Previous year,numeric__Position,numeric__Current year,numeric__Previous year
Total Remuneration of the Board of Directors,Total Remuneration of the Board of Directors,Total Remuneration of the Board of Directors,Total Remuneration of the Board of Directors,"874,615,000","824,800,000",,,
Le Van Thanh,Le Van Thanh,Le Van Thanh,Chairman,"360,000,000","225,600,000",,,
Le Thi Nguyet Thu,Le Thi Nguyet Thu,Le Thi Nguyet Thu,Former Chairman,,"134,400,000",,,
Nguyen Van Hung,Nguyen Van Hung,Nguyen Van Hung,Vice Chairman,"214,615,000","120,000,000",,,
Le Thanh Thuan,Le Thanh Thuan,Le Thanh Thuan,Member,,"44,800,000",,,
Nguyen Thi Hong Loan,Nguyen Thi Hong Loan,Nguyen Thi Hong Loan,Member,"300,000,000","300,000,000",,,
Total salary of the Board of Management,Total salary of the Board of Management,Total salary of the Board of Management,Total salary of the Board of Management,"5,972,600,000","6,501,291,125",,,
Le Tuan Anh,Le Tuan Anh,Le Tuan Anh,Executive President,"1,115,080,000","897,880,400",,,
Le Thanh Thuan,Le Thanh Thuan,Le Thanh Thuan,Former Executive President,,"1,162,742,500",,,
Le Van Thanh,Le Van Thanh,Le Van Thanh,Executive Vice President,"924,500,000","766,812,500",,,
Le Xuan Que,Le Xuan Que,Le Xuan Que,Executive Vice President,"899,850,000","933,526,000",,,
Truong Vinh Thanh,Truong Vinh Thanh,Truong Vinh Thanh,Executive Vice President,"671,910,000","661,093,400",,,
Le Thi Phuong,Le Thi Phuong,Le Thi Phuong,Executive Vice President,"672,710,000","661,643,400",,,
Le Nguyen Hoang Duy,Le Nguyen Hoang Duy,Le Nguyen Hoang Duy,Executive Vice President,"676,150,000","519,513,600",,,
Truong Cong Khanh,Truong Cong Khanh,Truong Cong Khanh,Financial Director,"568,300,000","492,390,100",,,
Ngo Thi To Ngan,Ngo Thi To Ngan,Ngo Thi To Ngan,Chief Accountant,"444,100,000","405,689,225",,,
