row_label_raw,row_label_full,Bên vay,Hợp đồng,Thời hạn vay,Mối quan hệ,Mục đích vay,numeric__Hợp đồng,numeric__Thời hạn vay,numeric__Mối quan hệ,numeric__Mục đích vay
+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,1207.HĐCV/2021,Trên 12 tháng,Công ty con,Bổ sung vốn đầu tư vào các dự án,,,,
+ Công ty Cổ phần Nhụt Hồng,+ Công ty Cổ phần Nhụt Hồng,+ Công ty Cổ phần Nhụt Hồng,01.2023HĐCVV/2023,Trên 12 tháng,Công ty con,Bổ sung vốn lưu động,,,,
