row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,,,,,,
Vay ngắn hạn - USD,a) Vay ngắn hạn > Vay ngắn hạn - USD,Vay ngắn hạn - USD,398.595.600.000,398.595.600.000,398.595.600.000,,,,398595600000.0,398595600000.0,398595600000.0,,,
Bên khác,a) Vay ngắn hạn > Bên khác,Bên khác,398.595.600.000,398.595.600.000,398.595.600.000,,,,398595600000.0,398595600000.0,398595600000.0,,,
- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,a) Vay ngắn hạn > - Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,- Ngân Hàng First Commercial Bank - Chi Nhánh Tp.HCM,398.595.600.000,398.595.600.000,398.595.600.000,,,,398595600000.0,398595600000.0,398595600000.0,,,
Nợ dài hạn đến hạn trả - VND,a) Vay ngắn hạn > Nợ dài hạn đến hạn trả - VND,Nợ dài hạn đến hạn trả - VND,295.934.000.000,295.934.000.000,295.934.000.000,311.758.000.000,311.758.000.000,311.758.000.000,295934000000.0,295934000000.0,295934000000.0,311758000000.0,311758000000.0,311758000000.0
Bên khác,a) Vay ngắn hạn > Bên khác,Bên khác,295.934.000.000,295.934.000.000,295.934.000.000,311.758.000.000,311.758.000.000,311.758.000.000,295934000000.0,295934000000.0,295934000000.0,311758000000.0,311758000000.0,311758000000.0
- Ngân Hàng Công Thương - CN Đồng - Hà Nội,a) Vay ngắn hạn > - Ngân Hàng Công Thương - CN Đồng - Hà Nội,- Ngân Hàng Công Thương - CN Đồng - Hà Nội,,,,25.850.000.000,25.850.000.000,25.850.000.000,,,,25850000000.0,25850000000.0,25850000000.0
- Ngân Hàng Công Thương - CN Đồng Tháp,a) Vay ngắn hạn > - Ngân Hàng Công Thương - CN Đồng Tháp,- Ngân Hàng Công Thương - CN Đồng Tháp,284.000.000.000,284.000.000.000,284.000.000.000,227.000.000.000,227.000.000.000,227.000.000.000,284000000000.0,284000000000.0,284000000000.0,227000000000.0,227000000000.0,227000000000.0
- Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,a) Vay ngắn hạn > - Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,- Ngân hàng TMCP Việt nam Thịnh Vượng - CN An Giang,11.934.000.000,11.934.000.000,11.934.000.000,,,,11934000000.0,11934000000.0,11934000000.0,,,
- Đối tượng khác,a) Vay ngắn hạn > - Đối tượng khác,- Đối tượng khác,,,,58.908.000.000,58.908.000.000,58.908.000.000,,,,58908000000.0,58908000000.0,58908000000.0
Bên liên quan,Bên liên quan,Bên liên quan,,,,,,,,,,,,
Cộng,Bên liên quan > Cộng,Cộng,1.841.413.489.520,1.841.413.489.520,3.284.786.515.777,3.400.003.073.939,1.956.630.047.682,1.956.630.047.682,1841413489520.0,1841413489520.0,3284786515777.0,3400003073939.0,1956630047682.0,1956630047682.0
14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
,,,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
b) Vay dài hạn - VND,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH > b) Vay dài hạn - VND,b) Vay dài hạn - VND,3.562.577.286.005,3.562.577.286.005,5.421.234.370.980,3.493.074.123.000,1.634.417.038.025,1.634.417.038.025,3562577286005.0,3562577286005.0,5421234370980.0,3493074123000.0,1634417038025.0,1634417038025.0
Trên 1 năm đến 5 năm,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH > Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,3.562.577.286.005,3.562.577.286.005,5.421.234.370.980,3.493.074.123.000,1.634.417.038.025,1.634.417.038.025,3562577286005.0,3562577286005.0,5421234370980.0,3493074123000.0,1634417038025.0,1634417038025.0
Bên khác,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH > Bên khác,Bên khác,3.471.947.286.005,3.471.947.286.005,3.874.164.370.980,1.496.644.123.000,1.094.427.038.025,1.094.427.038.025,3471947286005.0,3471947286005.0,3874164370980.0,1496644123000.0,1094427038025.0,1094427038025.0
- Ngân Hàng Công Thương - CN Đồng - Hà Nội,14 . VAY VÀ NỘ THUÊ TÀI CHÍNH > - Ngân Hàng Công Thương - CN Đồng - Hà Nội,- Ngân Hàng Công Thương - CN Đồng - Hà Nội,,,31.000.000.000,373.547.500.000,342.547.500.000,342.547.500.000,,,31000000000.0,373547500000.0,342547500000.0,342547500000.0
