row_label_raw,row_label_full,Previous year,An Giang,Dong Thap,Others,Unit: VND Total,numeric__An Giang,numeric__Dong Thap,numeric__Others,numeric__Unit: VND Total
Net external sales,Net external sales,Net external sales,"685,048,294,243","2,019,057,368,584","94,921,850,923","2,799,027,513,750",,,,
Net inter-segment sales,Net inter-segment sales,Net inter-segment sales,,,,-,,,,
Total net sales,Total net sales,Total net sales,"685,048,294,243","2,019,057,368,584","94,921,850,923","2,799,027,513,750",,,,
Cost of goods sold,Cost of goods sold,Cost of goods sold,"263,704,602,644","1,984,021,957,647","76,470,795,963","3,176,100,049,505",,,,
Segment financial performance,Segment financial performance,Segment financial performance,"421,343,691,599","35,035,410,937","18,451,054,960","474,830,157,496(116,579,934,732)",,,,
Expenses not attributable to segments,Expenses not attributable to segments,Expenses not attributable to segments,,,,,,,,
Operating profit,Operating profit,Operating profit,,,,"358,250,222,764",,,,
Financial income,Financial income,Financial income,,,,"100,592,708,888",,,,
Financial expense,Financial expense,Financial expense,,,,"(329,901,642,307)",,,,
Other income,Other income,Other income,,,,"4,504,701,841",,,,
Other expenses,Other expenses,Other expenses,,,,"(1,009,953,594)",,,,
Current enterprise income tax expense,Current enterprise income tax expense,Current enterprise income tax expense,,,,"(11,639,704,161)",,,,
Deferred enterprise income tax expense,Deferred enterprise income tax expense,Deferred enterprise income tax expense,,,,-,,,,
Profits after enterprise income tax,Profits after enterprise income tax,Profits after enterprise income tax,,,,"120,796,333,431",,,,
Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,Total expenses on acquisition of fixed assets and other non-current assets.,,,,"208,679,862,013",,,,
Total depreciation and allocation of long-term prepayments.,Total depreciation and allocation of long-term prepayments.,Total depreciation and allocation of long-term prepayments.,,,,"156,699,958,343",,,,
- Assets and liabilities,- Assets and liabilities,- Assets and liabilities,- Assets and liabilities,- Assets and liabilities,- Assets and liabilities,- Assets and liabilities,,,,
Closing balance,Closing balance,Closing balance,An Giang,Dong Thap,Others,Total,,,,
Segment assets,Segment assets,Segment assets,"6,463,190,481,827","1,660,876,749,361","3,529,835,039,425","11,653,902,270,613",,,,
Assets not attributable to segments,Assets not attributable to segments,Assets not attributable to segments,,,,,,,,
Total,Total,Total,"6,463,190,481,827","1,660,876,749,361","3,529,835,039,425","11,653,902,270,613",,,,
Segment liabilities,Segment liabilities,Segment liabilities,"211,175,259,695","9,181,591,126","119,852,789,002","340,209,639,823",,,,
Liabilities not attributable to segments,Liabilities not attributable to segments,Liabilities not attributable to segments,,,,"6,997,990,775,525",,,,
Total,Total,Total,"211,175,259,695","9,181,591,126","119,852,789,002","7,338,200,415,348",,,,
