row_label_raw,row_label_full,Code,Item,Note,Current year,Previous year,numeric__Item,numeric__Note,numeric__Current year,numeric__Previous year
,,,III. Cash flows from financial activities,,,,,,,
31,31,31,Proceeds from issuance of shares and receipt of contributed capital,,,,,,,
32,32,32,Repayments of contributed capital and repurchase of stock issued,,,,,,,
33,33,33,Proceeds from borrowings,,"7,389,626,936,757","7,532,313,995,054",,,,
34,34,34,Repayment of principal,,"(5,869,576,046,939)","(7,069,246,926,848)",,,,
35,35,35,Repayment of financial principal,,,,,,,
36,36,36,Dividends or profits paid to owners,,,"(24,768,465,125)",,,,
40,40,40,Net cash flows from financial activities,,"1,520,050,889,818","438,298,603,231",,,,
50,50,50,Net cash flows during the fiscal year,,"61,605,597,681","(14,292,593,466)",,,,
60,60,60,Cash and cash equivalents at the beginning of fiscal year,,"136,615,920,724","150,889,520,623",,,,
61,61,61,Effect of exchange rate fluctuations,,"8,317,951","18,993,567",,,,
70,70,70,Cash and cash equivalents at the end of fiscal year,,"198,229,836,356","136,615,920,724",,,,
