row_label_raw,row_label_full,No.,(Code) Industry registered for investment and business,numeric__(Code) Industry registered for investment and business
1,1,1,(Code 6419): Other monetary intermediary activities. Details: Foreign currency exchange agent,
2,2,2,(Code 5229): Other supporting service activities related to transportation. Details: Air ticket agent (Not operating at the head office),
3,3,3,Distribution of solar power (Except for transmission and dispatching of the national power system; Construction,
4,4,4,(Code 8610): Activities of hospitals and medical stations. Details: Hospital operations (not at the head office but only at the branch),
5,5,5,"(Code 4649): Wholesale of other household appliances. Details: Buying and selling air-conditioning equipment, sanitary equipment (metal fireplaces, heating systems with hot and cold water)",
6,6,6,"(Code 9610): Sauna, massage and similar health promotion services (except sports activities). Details: Massage service (not available at headquarters)",
7,7,7,(Code 9639): Other personal service activities remain unclassified. Details: Spa services (not available at headquarters),
8,8,8,"(Code 4669): Other specialized wholesale not elsewhere classified. Details: Buying and selling souvenirs for tourists (not operating at the head office) (Except for the exercise of export rights, import rights, and distribution rights for goods on the investor's list of goods. Foreign investors, foreign-invested economic organizations are not entitled to export, import or distribute: Cigarettes and cigars, books, newspapers and magazines, recorded articles, precious metals and gems, pharmaceuticals, explosives, crude and processed oils, rice, cane and beet sugar).",
9,9,9,"(Code 2022): Manufacture of paints, varnishes and similar paints and coatings; manufactures printing ink and mastics. Details: Producing mastic powder",
10,10,10,(Code 2391): Production of refractory products. Details: Production of building materials,
11,11,11,(Code 1040): Production of animal and vegetable oils and fats,
12,12,12,(Code 4101): Build houses to live in,
