row_label_raw,row_label_full,Item,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,"7,223.78","7,649.86",7.22378,7.64986
Net monetary assets/(liabilities),Net monetary assets/(liabilities),Net monetary assets/(liabilities),"7,223.78","7,649.86",7.22378,7.64986
