row_label_raw,row_label_full,FINANCIAL INVESTMENTS,FINANCIAL INVESTMENTS_1,FINANCIAL INVESTMENTS_2,FINANCIAL INVESTMENTS_3,FINANCIAL INVESTMENTS_4,FINANCIAL INVESTMENTS_5,FINANCIAL INVESTMENTS_6,numeric__FINANCIAL INVESTMENTS_1,numeric__FINANCIAL INVESTMENTS_2,numeric__FINANCIAL INVESTMENTS_3,numeric__FINANCIAL INVESTMENTS_4,numeric__FINANCIAL INVESTMENTS_5,numeric__FINANCIAL INVESTMENTS_6
a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,a) Trading securities,,,,,,
b) Held to maturity investments,b) Held to maturity investments,b) Held to maturity investments,Closing balance,Closing balance,Closing balance,Opening balance,Opening balance,Opening balance,,,,,,
b) Held to maturity investments,b) Held to maturity investments,b) Held to maturity investments,Historical cost,Book Value,Provision,Historical cost,Book Value,Provision,,,,,,
b1) Short-term held to maturity investments,b1) Short-term held to maturity investments,b1) Short-term held to maturity investments,"257,582,355,143","257,582,355,143",,"96,073,338,159","96,073,338,159",,,,,,,
- Term deposits,- Term deposits,- Term deposits,"257,582,355,143","257,582,355,143",,"96,073,338,159","96,073,338,159",,,,,,,
b2) Long-term held to maturity investments,b2) Long-term held to maturity investments,b2) Long-term held to maturity investments,"30,000,000,000","30,000,000,000",,"30,000,000,000","30,000,000,000",,,,,,,
- Bonds (*),- Bonds (*),- Bonds (*),"30,000,000,000","30,000,000,000",,"30,000,000,000","30,000,000,000",,,,,,,
Total,Total,Total,"287,582,355,143","287,582,355,143",,"126,073,338,159","126,073,338,159",,,,,,,
Name,Name,Name,Amount,Unit Price,Total,Reference IR,Issue Date,Expire Date,,,,,,
VietNam Joint Stock Commercial Bank,Name > VietNam Joint Stock Commercial Bank,VietNam Joint Stock Commercial Bank,"300,000","100,000","30,000,000,000",1.3%/year,20/07/2023,20/07/2033,300.0,100.0,,,,
c) Investments in equity of other entities,c) Investments in equity of other entities,c) Investments in equity of other entities,Closing balance,Closing balance,Closing balance,Opening balance,Opening balance,Opening balance,,,,,,
c) Investments in equity of other entities,c) Investments in equity of other entities,c) Investments in equity of other entities,Historical cost,Fair value,Provision,Historical cost,Fair value,Provision,,,,,,
Investments in subsidiaries,Investments in subsidiaries,Investments in subsidiaries,"2,272,181,715,311","1,172,923,796,880",,"2,275,021,715,311","1,380,356,192,700","(3,494,310,076)",,,,,,
+ Dung Thinh Phat Sai Gon JSC (*),+ Dung Thinh Phat Sai Gon JSC (*),+ Dung Thinh Phat Sai Gon JSC (*),"33,000,000,000",,,"33,000,000,000",,,,,,,,
+ Dong Thap Tourist JSC (*),+ Dong Thap Tourist JSC (*),+ Dong Thap Tourist JSC (*),"68,391,109,800",,,"68,391,109,800",,,,,,,,
+ Financial Investment & International Media Corporation (**),+ Financial Investment & International Media Corporation (**),+ Financial Investment & International Media Corporation (**),,,,"11,510,000,000",,"(3,494,310,076)",,,,,,
+ Nhut Hong JSC (*),+ Nhut Hong JSC (*),+ Nhut Hong JSC (*),"167,991,740,000",,,"167,991,740,000",,,,,,,,
"+ Sao Mai Solar Co.,Ltd (*)","+ Sao Mai Solar Co.,Ltd (*)","+ Sao Mai Solar Co.,Ltd (*)","20,000,000,000",,,"20,000,000,000",,,,,,,,
"+ Sao Mai Super Feed Co.,Ltd (*)","+ Sao Mai Super Feed Co.,Ltd (*)","+ Sao Mai Super Feed Co.,Ltd (*)","400,000,000,000",,,"400,000,000,000",,,,,,,,
+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,+ An Giang Tourimex JSC,"159,230,701,599",,,"159,230,701,599",,,,,,,,
+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),+ International Development and Investment Corporation (I.D.I),"997,398,163,912","1,151,664,358,680",,"997,398,163,912","1,364,365,442,700",,,,,,,
+ Travel Investment and Seafood Development Corporation,+ Travel Investment and Seafood Development Corporation,+ Travel Investment and Seafood Development Corporation,"15,000,000,000","21,259,438,200",,"15,000,000,000","15,990,750,000",,,,,,,
+ Long An Europlast Solar Power JSC (*),+ Long An Europlast Solar Power JSC (*),+ Long An Europlast Solar Power JSC (*),"402,500,000,000",,,"402,500,000,000",,,,,,,,
"+ Maiky Japan Ecology Co.,Ltd (**)","+ Maiky Japan Ecology Co.,Ltd (**)","+ Maiky Japan Ecology Co.,Ltd (**)","8,670,000,000",,,,,,,,,,,
Investments in equity of other entities,Investments in equity of other entities,Investments in equity of other entities,"2,000,000,000",,"(2,000,000,000)","2,000,000,000",,"(2,000,000,000)",,,,,,
+ Dong Thap Football JSC (*),+ Dong Thap Football JSC (*),+ Dong Thap Football JSC (*),"2,000,000,000",,"(2,000,000,000)","2,000,000,000",,"(2,000,000,000)",,,,,,
Total,Total,Total,"2,274,181,715,311","1,172,923,796,880","(2,000,000,000)","2,277,021,715,311","1,380,356,192,700","(5,494,310,076)",,,,,,
