row_label_raw,row_label_full,THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC,THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_1,THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_2,THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_3,THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_4,numeric__THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_1,numeric__THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_2,numeric__THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_3,numeric__THUÊ VÀ CÁC KHOÀN PHẢI NỘP NHÀ NUỐC_4
a) Phải nộp,a) Phải nộp,a) Phải nộp,Cuối năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số đầu năm,,,,
Thuế GTGT,a) Phải nộp > Thuế GTGT,Thuế GTGT,8.408.386.975,19.067.373.442,50.500.251.539,39.841.265.072,8408386975.0,19067373442.0,50500251539.0,39841265072.0
Thuế thu nhập doanh nghiệp,a) Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,5.193.350.887,6.390.876.683,11.639.743.472,10.424.211.848,5193350887.0,6390876683.0,11639743472.0,10424211848.0
Thuế thu nhập cá nhân,a) Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.982.856.935,6.940.978.685,7.170.786.410,2.212.664.660,1982856935.0,6940978685.0,7170786410.0,2212664660.0
"Thuế nhà đất, thuê đất...","a) Phải nộp > Thuế nhà đất, thuê đất...","Thuế nhà đất, thuê đất...",69.346.178.000,17.365.875.919,365.601.207.347,417.581.509.428,69346178000.0,17365875919.0,365601207347.0,417581509428.0
"Các khoản phí, lệ phí, thuế khác","a) Phải nộp > Các khoản phí, lệ phí, thuế khác","Các khoản phí, lệ phí, thuế khác",,111.916.803,111.916.803,,,111916803.0,111916803.0,
Cộng,a) Phải nộp > Cộng,Cộng,84.930.772.797,49.877.021.532,435.023.905.571,470.059.651.008,84930772797.0,49877021532.0,435023905571.0,470059651008.0
b) Phải thu,b) Phải thu,b) Phải thu,Cuối năm,Số phải thu trong năm,Số đã thực thu trong năm,Số đầu năm,,,,
Thuế thu nhập cá nhân,b) Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.319.698.623,162.777.458,,2.156.921.165,2319698623.0,162777458.0,,2156921165.0
Cộng,b) Phải thu > Cộng,Cộng,2.319.698.623,162.777.458,,2.156.921.165,2319698623.0,162777458.0,,2156921165.0
