row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
a) Short-term prepaid expenses,a) Short-term prepaid expenses,a) Short-term prepaid expenses,"7,548,835,337","123,345,787",,
Solar fire insurance An Hao,Solar fire insurance An Hao,Solar fire insurance An Hao,"269,030,304",,,
"The cost of advertising the welcome gate, the street of lights to celebrate the New Year in An Giang province","The cost of advertising the welcome gate, the street of lights to celebrate the New Year in An Giang province","The cost of advertising the welcome gate, the street of lights to celebrate the New Year in An Giang province","85,113,362",,,
Dispatched tools and supplies,Dispatched tools and supplies,Dispatched tools and supplies,"1,078,922,099","123,345,787",,
Others,Others,Others,"6,115,769,572",,,
b) Long-term prepaid expenses,b) Long-term prepaid expenses,b) Long-term prepaid expenses,"549,929,650,462","549,629,044,023",,
Cost of land rent solar power plant Tinh Bien (*),Cost of land rent solar power plant Tinh Bien (*),Cost of land rent solar power plant Tinh Bien (*),"456,745,764,905","467,378,089,286",,
Officers and staff attending school,Officers and staff attending school,Officers and staff attending school,"4,319,774,512","8,258,425,196",,
Cost of land rent Sa Dec (*),Cost of land rent Sa Dec (*),Cost of land rent Sa Dec (*),"47,049,616,091","48,160,812,674",,
Land rent for Sao Mai Binh Khanh market 5,Land rent for Sao Mai Binh Khanh market 5,Land rent for Sao Mai Binh Khanh market 5,"3,602,789,236","3,694,263,721",,
Dispatched tools and supplies,Dispatched tools and supplies,Dispatched tools and supplies,"7,275,416,123","2,647,813,937",,
Cost of repairing office,Cost of repairing office,Cost of repairing office,"1,542,370,571","1,707,960,167",,
"Advertising costs, print calendar, staff uniforms","Advertising costs, print calendar, staff uniforms","Advertising costs, print calendar, staff uniforms","29,393,919,024","17,781,679,042",,
Total,Total,Total,"557,478,485,799","549,752,389,810",,
