row_label_raw,row_label_full,Lender,Contract/Debt contract,Maturity/Loan (VND),Outstanding balance,Term (Month),Interest rate (%),Purpose,Form of security,numeric__Contract/Debt contract,numeric__Maturity/Loan (VND),numeric__Outstanding balance,numeric__Term (Month),numeric__Interest rate (%),numeric__Purpose,numeric__Form of security
Lender,Lender,Lender,Contract/Debt contract,VND,VND,Term (Month),Interest rate (%),Purpose,Form of security,,,,,,,
Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,Lender > Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,Asia Commercial Joint Stock Bank (ACB) - An Giang Branch,ANG.DN.2662.240624,"85,000,000,000","38,412,938,574",6,According to each debt contract,Serve production and business,Fixed assets and saving deposit,,,,6.0,,,
Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank) - Cuu Long Delta Bracnh,Lender > Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank) - Cuu Long Delta Bracnh,Joint Stock Commercial Bank for Investment and Development of Vietnam (HDBank) - Cuu Long Delta Bracnh,001/2024/548997/HDTD,"400,000,000,000","73,015,555,000",12,According to each debt contract,Serve production and business,Real estates and Mortgage,,,,12.0,,,
Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,Lender > Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,Tien Phong Commercial Joint Stock Bank (TPBank) - An Giang Branch,266/2024/HDTD/AGG,"400,000,000,000","243,002,675,269",6,According to each debt contract,Additional capital for Aquatic feed business and feed materials,Real estates + Mortgage + shares,,,,6.0,,,
Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,Lender > Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,Vietnam Prosperity Joint Stock Commercial Bank (VPBank) - An Giang Branch,BCLC-2880-01,"665,000,000,000","286,390,673,853",84,According to each debt contract,"Payment of land use fees + construction investment costs at Minh Son Urban Area, Trieu Son Town, Thanh Hoa",Real estates and saving deposit,,,,84.0,,,
Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,Lender > Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,Vietnam Prosperity Joint Stock Commercial Bank - An Giang Branch,BCLC-3226-01,"400,000,000,000","19,840,495,000",12,According to each debt contract,Supplement working capital for production and business + Issue domestic L/C Upas,Real estates + shares + saving deposit,,,,12.0,,,
"Maiky Japan Ecology Co.,Ltd","Lender > Maiky Japan Ecology Co.,Ltd","Maiky Japan Ecology Co.,Ltd",CR07/24-0001,,"16,860,000,000",11,7%,Serve production and business,Mortgage,,,,11.0,0.07,,
Others,Lender > Others,Others,According to each debt contract,,"708,728,675,677",12,According to each debt contract,Serve production and business,Mortgage,,,,12.0,,,
First Commercial Bank HCM City Branch (USD),Lender > First Commercial Bank HCM City Branch (USD),First Commercial Bank HCM City Branch (USD),FIRST-12.11.24,"80,000,000","1,992,978,000,000",60,According to each debt contract,Serve production and business,L/C Guarantee,,,,60.0,,,
Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,Lender > Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,Prosperity and Growth Commercial Joint Stock Bank - Ha Noi Branch,686.0604.2023/DN,"200,000,000,000","200,000,000,000",108,According to each debt contract,"Payment for compensation of investment costs of the project ""Sao Mai Thanh Hoa Resort"" in Tho Lam commune, Tho Xuan district, Thanh Hoa",Real estate,,,,108.0,,,
