row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,Số cuối năm > Giá trị_1,Số đầu năm > Giá trị_1,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị_1,numeric__Số đầu năm > Giá trị_1
Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sân tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,198.229.836.356,,136.615.920.724,,198.229.836.356,136.615.920.724,198229836356.0,,136615920724.0,,198229836356.0,136615920724.0
Phải thu khách hàng,Tài sân tài chính > Phải thu khách hàng,Phải thu khách hàng,136.964.674.389,(9.791.211.068),111.082.182.349,(9.791.211.068),127.173.463.321,101.290.971.281,136964674389.0,-9791211068.0,111082182349.0,-9791211068.0,127173463321.0,101290971281.0
Trả trước cho người bán,Tài sân tài chính > Trả trước cho người bán,Trả trước cho người bán,1.533.335.284.398,,1.146.272.503.719,,1.533.335.284.398,1.146.272.503.719,1533335284398.0,,1146272503719.0,,1533335284398.0,1146272503719.0
Các khoản phải thu khác,Tài sân tài chính > Các khoản phải thu khác,Các khoản phải thu khác,200.614.123.302,,186.227.200.058,,200.614.123.302,186.227.200.058,200614123302.0,,186227200058.0,,200614123302.0,186227200058.0
Đầu tư tài chính ngắn hạn,Tài sân tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,257.582.355.143,,96.073.338.159,,257.582.355.143,96.073.338.159,257582355143.0,,96073338159.0,,257582355143.0,96073338159.0
Đầu tư tài chính dài hạn,Tài sân tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.304.181.715.311,(2.000.000.000),2.307.021.715.311,(5.494.310.076),2.302.181.715.311,2.301.527.405.235,2304181715311.0,-2000000000.0,2307021715311.0,-5494310076.0,2302181715311.0,2301527405235.0
Cộng,Tài sân tài chính > Cộng,Cộng,4.630.907.988.899,(11.791.211.068),3.983.292.860.320,(15.285.521.144),4.619.116.777.831,3.968.007.339.176,4630907988899.0,-11791211068.0,3983292860320.0,-15285521144.0,4619116777831.0,3968007339176.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,129.019.170.859,,153.294.682.009,,129.019.170.859,153.294.682.009,129019170859.0,,153294682009.0,,129019170859.0,153294682009.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,29.927.365.559,,250.940.197.141,,29.927.365.559,250.940.197.141,29927365559.0,,250940197141.0,,29927365559.0,250940197141.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,6.997.990.775.525,,5.469.047.085.707,,6.997.990.775.525,5.469.047.085.707,6997990775525.0,,5469047085707.0,,6997990775525.0,5469047085707.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,4.893.801.380,,4.602.468.007,,4.893.801.380,4.602.468.007,4893801380.0,,4602468007.0,,4893801380.0,4602468007.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,21.869.080.355,,16.001.091.308,,21.869.080.355,16.001.091.308,21869080355.0,,16001091308.0,,21869080355.0,16001091308.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,7.183.700.193.678,-,5.893.885.524.172,-,7.183.700.193.678,5.893.885.524.172,7183700193678.0,,5893885524172.0,,7183700193678.0,5893885524172.0
