row_label_raw,row_label_full,15. PHẢI TRẢ NGƯỜI BÁN,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
a) Ngắn hạn (*),a) Ngắn hạn (*),a) Ngắn hạn (*),129.019.170.859,129.019.170.859,153.294.682.009,153.294.682.009,129019170859.0,129019170859.0,153294682009.0,153294682009.0
Bên khác,Bên khác,Bên khác,128.073.601.444,128.073.601.444,153.294.682.009,153.294.682.009,128073601444.0,128073601444.0,153294682009.0,153294682009.0
+ Công ty Cổ Phần Nông Sản Tràng An,+ Công ty Cổ Phần Nông Sản Tràng An,+ Công ty Cổ Phần Nông Sản Tràng An,,,12.654.607.500,12.654.607.500,,,12654607500.0,12654607500.0
+ Công ty TNHH Sing Việt Sông Đốc,+ Công ty TNHH Sing Việt Sông Đốc,+ Công ty TNHH Sing Việt Sông Đốc,9.702.488.800,9.702.488.800,5.951.963.500,5.951.963.500,9702488800.0,9702488800.0,5951963500.0,5951963500.0
+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,+ Công ty Cổ Phần Đầu Tư XD & TM Trường Thịnh,11.014.599.459,11.014.599.459,8.526.877.551,8.526.877.551,11014599459.0,11014599459.0,8526877551.0,8526877551.0
+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,+ Công ty Cổ Phần Khai Anh Bình Thuận,,,61.400.000.000,61.400.000.000,,,61400000000.0,61400000000.0
+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,1.721.504.600,1.721.504.600,1.721.859.580,1.721.859.580,1721504600.0,1721504600.0,1721859580.0,1721859580.0
+ Công ty Sterling And Wilson Private Limited,+ Công ty Sterling And Wilson Private Limited,+ Công ty Sterling And Wilson Private Limited,24.876.982.503,24.876.982.503,24.876.982.503,24.876.982.503,24876982503.0,24876982503.0,24876982503.0,24876982503.0
+ Khách hàng khác,+ Khách hàng khác,+ Khách hàng khác,80.758.026.082,80.758.026.082,38.162.391.375,38.162.391.375,80758026082.0,80758026082.0,38162391375.0,38162391375.0
Bên liên quan,Bên liên quan,Bên liên quan,945.569.415,945.569.415,,,945569415.0,945569415.0,,
+ Công ty Cổ Phần Du Lịch An Giang,+ Công ty Cổ Phần Du Lịch An Giang,+ Công ty Cổ Phần Du Lịch An Giang,945.569.415,945.569.415,,,945569415.0,945569415.0,,
b) Dài hạn,b) Dài hạn,b) Dài hạn,,,,,,,,
Cộng,b) Dài hạn > Cộng,Cộng,129.019.170.859,129.019.170.859,153.294.682.009,153.294.682.009,129019170859.0,129019170859.0,153294682009.0,153294682009.0
