row_label_raw,row_label_full,Bên cho vay,Hợp đồng/Khé ước,Hạn mức/Số tiền vay > VND/USD,Dư nợ vay > VND,Thời hạn vay (Tháng),Lãi suất (%),Mục đích vay,Hình thức đảm bảo,numeric__Hợp đồng/Khé ước,numeric__Hạn mức/Số tiền vay > VND/USD,numeric__Dư nợ vay > VND,numeric__Thời hạn vay (Tháng),numeric__Lãi suất (%),numeric__Mục đích vay,numeric__Hình thức đảm bảo
Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,Ngân hàng TMCP Á Châu CN An Giang,ANG.DN.2662.240624,85.000.000.000,38.412.938.574,6,Theo từng khế ước nhận nợ,Bổ sung vốn lưu động phục vụ SXKD,Tiền gửi và BDS,,85000000000.0,38412938574.0,6.0,,,
Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Đồng Bằng Sông Cửu Long,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Đồng Bằng Sông Cửu Long,Ngân Hàng TMCP Đầu Tư Và Phát Triển Việt Nam - CN Đồng Bằng Sông Cửu Long,001/2024/548997/HĐTD,400.000.000.000,73.015.555.000,12,Theo từng khế ước nhận nợ,Bổ sung vốn lưu động phục vụ SXKD,BDS và tín chấp,,400000000000.0,73015555000.0,12.0,,,
Ngân hàng TMCP Tiên Phong - CN An Giang,Ngân hàng TMCP Tiên Phong - CN An Giang,Ngân hàng TMCP Tiên Phong - CN An Giang,266/2024/HDTD/AGG,400.000.000.000,243.002.675.269,6,Theo từng khế ước nhận nợ,BS vốn KD TATS và NL thức ăn,BDS + tín chấp+ cổ phiếu,,400000000000.0,243002675269.0,6.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,BCLC-2880-01,665.000.000.000,286.390.673.853,84,Theo từng khế ước nhận nợ,"Thanh toán chi phí tiền sd đất + chi phí ĐT XD HT tại KDT Minh Sơn, TT Triệu Sơn, Thanh Hóa",BDS + HĐTG,,665000000000.0,286390673853.0,84.0,,,
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,BCLC-3226-01,400.000.000.000,19.840.495.000,12,Theo từng khế ước nhận nợ,"Bổ sung vốn lưu động phục vụ SXKD, PH L/C Upas nội địa",BDS + cổ phiếu + HĐTG,,400000000000.0,19840495000.0,12.0,,,
Công ty TNHH Sinh Học MAIKI JAPAN,Công ty TNHH Sinh Học MAIKI JAPAN,Công ty TNHH Sinh Học MAIKI JAPAN,CR07/24-0001,,16.860.000.000,11,"7,0%",Phục vụ sản xuất kinh doanh,Tín chấp,,,16860000000.0,11.0,0.07,,
Đối tượng khác,Đối tượng khác,Đối tượng khác,Từng hợp đồng cụ thể,,708.728.675.677,12,"Theo từng hợp đồng cụ thể, trả gốc cuối kỳ",Phục vụ sản xuất kinh doanh,Tín chấp,,,708728675677.0,12.0,,,
First Commercial Bank CN TP Hồ Chí Minh (USD),First Commercial Bank CN TP Hồ Chí Minh (USD),First Commercial Bank CN TP Hồ Chí Minh (USD),FIRST-12.11.24,80.000.000,1.992.978.000.000,60,Theo từng khế ước nhận nợ,Vay bổ sung vốn lưu động,Bảo lãnh L/C,,80000000.0,1992978000000.0,60.0,,,
Ngân hàngTMCP Thịnh Vượng và Phát Triển -CN Hà Nội,Ngân hàngTMCP Thịnh Vượng và Phát Triển -CN Hà Nội,Ngân hàngTMCP Thịnh Vượng và Phát Triển -CN Hà Nội,686.0604.2023/DN,200.000.000.000,200.000.000.000,108,Theo từng khế ước nhận nợ,"Thanh toán Bù đắp chi phí đầu tư dự án ""Reort Sao Mai Thanh Hóa"" tại xã Thọ Lâm, huyện Thọ Xuân, Thanh Hóa",BDS,,200000000000.0,200000000000.0,108.0,,,
